HH,hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13
0,-3,846.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-3,4193.3150000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-3,4227.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-3,3966.0299999999993,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,-3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-3,6666.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-3,6315.950999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-3,932.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-3,8800.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-3,4898.754000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-3,297.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-3,130.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-3,12145.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-2,104850.58600000018,0,0,1,0,0,1,1,1,0,0,0,1,0,0
1,-2,432707.3090000002,1,0,1,1,1,1,0,0,0,0,0,0,0,0
2,-2,407249.475,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,-2,396566.7740000009,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,-2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-2,686146.8090000009,1,0,1,0,1,1,0,0,0,0,1,1,0,0
7,-2,615412.7339999982,1,0,0,0,0,0,1,1,0,0,0,0,0,0
8,-2,108392.3810000002,1,0,0,0,1,0,0,0,0,1,0,0,0,0
9,-2,850607.8890000056,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,-2,479643.5240000011,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,-2,35534.30900000009,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,-2,16252.619999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-2,1185052.1190000046,1,1,0,1,0,1,0,1,0,0,0,1,0,0
0,-1,103727.9620000003,0,0,1,0,0,1,1,1,0,0,0,1,0,0
1,-1,200897.97600000052,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2,-1,53281.94199999979,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,-1,131309.2420000002,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,-1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-1,278590.15799999906,0,0,1,0,1,1,0,0,0,0,1,1,0,0
7,-1,142481.59500000018,0,0,0,0,0,0,1,1,0,0,0,0,0,0
8,-1,107224.97600000014,1,0,0,0,1,0,0,0,0,1,0,0,0,0
9,-1,107369.31899999919,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,-1,68013.1199999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,-1,34983.56600000011,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,-1,16238.192000000003,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-1,190942.62600000075,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,99711.52000000025,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,182123.679,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,36643.24799999985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,120903.60900000035,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,259689.1059999994,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,0,124213.10699999992,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,102531.35700000021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,0,73686.95499999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,46979.07600000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,34819.1790000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,11715.95099999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,150127.38300000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,97289.96500000014,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,177975.05299999999,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,35403.34299999988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,118057.51100000007,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
