hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
0,0,0,0,0,0,0,0,0,0,0,0,0
91,189760.17099999974,1,1,1,1,1,1,1,1,1,1,1
92,656141.1420000009,1,1,1,1,1,1,1,1,1,1,1
93,650957.5870000002,1,1,1,1,1,1,1,1,1,1,1
94,651607.1079999987,1,1,1,1,1,1,1,1,1,1,1
95,662107.2779999992,1,1,1,1,1,1,1,1,1,1,1
96,647410.5430000012,1,1,1,1,1,1,1,1,1,1,1
97,656481.8910000008,1,1,1,1,1,1,1,1,1,1,1
98,647614.8680000011,1,1,1,1,1,1,1,1,1,1,1
99,656808.2950000002,1,1,1,1,1,1,1,1,1,1,1
100,658514.0489999996,1,1,1,1,1,1,1,1,1,1,1
101,648695.9970000008,1,1,1,1,1,1,1,1,1,1,1
102,434009.70699999976,1,1,1,1,1,1,1,1,1,1,1
5,299203.31499999994,1,1,1,1,1,1,1,1,1,1,1
6,239044.67199999993,1,1,1,1,1,1,1,1,1,1,1
102,258093.3089999995,1,1,1,1,1,1,1,1,1,1,1
103,697435.6629999981,1,1,1,1,1,1,1,1,1,1,1
104,680604.4959999986,1,1,1,1,1,1,1,1,1,1,1
105,698270.2440000012,1,1,1,1,1,1,1,1,1,1,1
106,689573.9119999994,1,1,1,1,1,1,1,1,1,1,1
107,694239.4240000006,1,1,1,1,1,1,1,1,1,1,1
108,694980.465000001,1,1,1,1,1,1,1,1,1,1,1
109,664738.5990000018,1,1,1,1,1,1,1,1,1,1,1
110,490879.7999999991,1,1,1,1,1,1,1,1,1,1,1
111,659083.9970000011,1,1,1,1,1,1,1,1,1,1,1
112,656644.5720000023,1,1,1,1,1,1,1,1,1,1,1
113,51522.23999999996,1,1,1,1,1,1,1,1,1,1,1
6,407451.00400000054,1,1,1,1,1,1,1,1,1,1,1
7,132080.01099999985,1,1,1,1,1,1,1,1,1,1,1
113,628995.7620000019,1,1,1,1,1,1,1,1,1,1,1
114,688673.1589999972,1,1,1,1,1,1,1,1,1,1,1
115,681168.3920000007,1,1,1,1,1,1,1,1,1,1,1
116,684573.66,1,1,1,1,1,1,1,1,1,1,1
117,706653.1929999982,1,1,1,1,1,1,1,1,1,1,1
118,694140.9599999996,1,1,1,1,1,1,1,1,1,1,1
119,694372.0859999983,1,1,1,1,1,1,1,1,1,1,1
120,687564.7529999983,1,1,1,1,1,1,1,1,1,1,1
121,676507.0689999991,1,1,1,1,1,1,1,1,1,1,1
122,224457.50700000016,1,1,1,1,1,1,1,1,1,1,1
7,510968.4499999996,1,1,1,1,1,1,1,1,1,1,1
8,26558.325999999994,1,1,1,1,1,1,1,1,1,1,1
122,463892.68099999893,1,1,1,1,1,1,1,1,1,1,1
123,686131.8590000022,1,1,1,1,1,1,1,1,1,1,1
124,687262.3910000017,1,1,1,1,1,1,1,1,1,1,1
125,684547.2999999982,1,1,1,1,1,1,1,1,1,1,1
126,691743.6850000031,1,1,1,1,1,1,1,1,1,1,1
127,683315.6570000013,1,1,1,1,1,1,1,1,1,1,1
128,707746.957999999,1,1,1,1,1,1,1,1,1,1,1
129,687688.2889999986,1,1,1,1,1,1,1,1,1,1,1
130,674134.4730000005,1,1,1,1,1,1,1,1,1,1,1
131,690055.501000003,1,1,1,1,1,1,1,1,1,1,1
132,237610.1729999998,1,1,1,1,1,1,1,1,1,1,1
8,536643.5629999987,1,1,1,1,1,1,1,1,1,1,1
132,459172.0300000002,1,1,1,1,1,1,1,1,1,1,1
133,697096.4439999992,1,1,1,1,1,1,1,1,1,1,1
134,696581.6370000013,1,1,1,1,1,1,1,1,1,1,1
135,690198.0700000013,1,1,1,1,1,1,1,1,1,1,1
136,704393.9800000009,1,1,1,1,1,1,1,1,1,1,1
137,688993.1509999996,1,1,1,1,1,1,1,1,1,1,1
138,692712.435000001,1,1,1,1,1,1,1,1,1,1,1
139,701637.5650000005,1,1,1,1,1,1,1,1,1,1,1
140,688854.391000001,1,1,1,1,1,1,1,1,1,1,1
141,370839.57,1,1,1,1,1,1,1,1,1,1,1
8,79105.85400000008,1,1,1,1,1,1,1,1,1,1,1
9,657225.5929999994,1,1,1,1,1,1,1,1,1,1,1
10,354916.2349999996,1,1,1,1,1,1,1,1,1,1,1
141,314650.07200000004,1,1,1,1,1,1,1,1,1,1,1
142,686143.5780000008,1,1,1,1,1,1,1,1,1,1,1
143,678242.965,1,1,1,1,1,1,1,1,1,1,1
144,688383.5719999997,1,1,1,1,1,1,1,1,1,1,1
145,702584.3200000019,1,1,1,1,1,1,1,1,1,1,1
146,692918.3229999982,1,1,1,1,1,1,1,1,1,1,1
147,699906.0979999992,1,1,1,1,1,1,1,1,1,1,1
148,686017.2139999991,1,1,1,1,1,1,1,1,1,1,1
149,687697.1530000007,1,1,1,1,1,1,1,1,1,1,1
150,522513.0780000003,1,1,1,1,1,1,1,1,1,1,1
10,297935.90599999984,1,1,1,1,1,1,1,1,1,1,1
11,244291.76800000004,1,1,1,1,1,1,1,1,1,1,1
150,176080.13699999996,1,1,1,1,1,1,1,1,1,1,1
151,687909.0480000032,1,1,1,1,1,1,1,1,1,1,1
152,696286.4399999995,1,1,1,1,1,1,1,1,1,1,1
153,689364.6960000005,1,1,1,1,1,1,1,1,1,1,1
154,698479.8980000021,1,1,1,1,1,1,1,1,1,1,1
155,683360.6420000023,1,1,1,1,1,1,1,1,1,1,1
156,688242.4010000008,1,1,1,1,1,1,1,1,1,1,1
157,690660.2839999975,1,1,1,1,1,1,1,1,1,1,1
158,677936.1109999999,1,1,1,1,1,1,1,1,1,1,1
159,685649.0820000004,1,1,1,1,1,1,1,1,1,1,1
160,527268.0210000006,1,1,1,1,1,1,1,1,1,1,1
11,408581.3380000006,1,1,1,1,1,1,1,1,1,1,1
12,139523.92400000012,1,1,1,1,1,1,1,1,1,1,1
160,150913.01300000004,1,1,1,1,1,1,1,1,1,1,1
161,687334.9860000015,1,1,1,1,1,1,1,1,1,1,1
162,694958.3850000005,1,1,1,1,1,1,1,1,1,1,1
163,685992.8779999999,1,1,1,1,1,1,1,1,1,1,1
164,688531.1770000003,1,1,1,1,1,1,1,1,1,1,1
165,690530.1459999989,1,1,1,1,1,1,1,1,1,1,1
166,695568.1210000017,1,1,1,1,1,1,1,1,1,1,1
167,686474.2879999991,1,1,1,1,1,1,1,1,1,1,1
168,646030.7980000002,1,1,1,1,1,1,1,1,1,1,1
169,682632.6840000005,1,1,1,1,1,1,1,1,1,1,1
170,144027.8999999999,1,1,1,1,1,1,1,1,1,1,1
12,508345.61099999957,1,1,1,1,1,1,1,1,1,1,1
13,35330.78899999998,1,1,1,1,1,1,1,1,1,1,1
170,534340.6430000011,1,1,1,1,1,1,1,1,1,1,1
171,699679.913000001,1,1,1,1,1,1,1,1,1,1,1
172,688302.6879999989,1,1,1,1,1,1,1,1,1,1,1
173,688797.6150000034,1,1,1,1,1,1,1,1,1,1,1
174,708024.5969999993,1,1,1,1,1,1,1,1,1,1,1
175,691037.7849999992,1,1,1,1,1,1,1,1,1,1,1
176,698565.1100000016,1,1,1,1,1,1,1,1,1,1,1
177,705218.8809999984,1,1,1,1,1,1,1,1,1,1,1
178,697026.1570000012,1,1,1,1,1,1,1,1,1,1,1
179,277095.00699999963,1,1,1,1,1,1,1,1,1,1,1
13,544660.5850000012,1,1,1,1,1,1,1,1,1,1,1
179,426820.46300000063,1,1,1,1,1,1,1,1,1,1,1
180,695914.3229999997,1,1,1,1,1,1,1,1,1,1,1
181,698689.8609999991,1,1,1,1,1,1,1,1,1,1,1
182,709826.5129999999,1,1,1,1,1,1,1,1,1,1,1
183,694849.1860000003,1,1,1,1,1,1,1,1,1,1,1
184,698052.5450000014,1,1,1,1,1,1,1,1,1,1,1
185,697349.4189999995,1,1,1,1,1,1,1,1,1,1,1
186,691244.9170000023,1,1,1,1,1,1,1,1,1,1,1
187,695474.9290000006,1,1,1,1,1,1,1,1,1,1,1
188,452434.05199999997,1,1,1,1,1,1,1,1,1,1,1
13,72643.50300000006,1,1,1,1,1,1,1,1,1,1,1
14,470978.5059999995,1,1,1,1,1,1,1,1,1,1,1
-3,5515.109,1,1,1,1,1,1,1,1,1,1,1
-2,539125.9580000006,1,1,1,1,1,1,1,1,1,1,1
188,241515.06800000012,1,1,1,1,1,1,1,1,1,1,1
189,684456.0649999998,1,1,1,1,1,1,1,1,1,1,1
190,679978.6269999992,1,1,1,1,1,1,1,1,1,1,1
191,682565.8340000026,1,1,1,1,1,1,1,1,1,1,1
192,679512.8100000002,1,1,1,1,1,1,1,1,1,1,1
193,709618.9550000014,1,1,1,1,1,1,1,1,1,1,1
194,699894.6090000015,1,1,1,1,1,1,1,1,1,1,1
195,701133.141000002,1,1,1,1,1,1,1,1,1,1,1
196,692642.7630000005,1,1,1,1,1,1,1,1,1,1,1
197,576713.9370000007,1,1,1,1,1,1,1,1,1,1,1
14,181422.52099999983,1,1,1,1,1,1,1,1,1,1,1
15,657212.6549999992,1,1,1,1,1,1,1,1,1,1,1
16,274171.02099999995,1,1,1,1,1,1,1,1,1,1,1
197,123017.90899999999,1,1,1,1,1,1,1,1,1,1,1
198,695163.706999999,1,1,1,1,1,1,1,1,1,1,1
199,670778.6590000015,1,1,1,1,1,1,1,1,1,1,1
200,636774.0769999998,1,1,1,1,1,1,1,1,1,1,1
201,586733.2840000007,1,1,1,1,1,1,1,1,1,1,1
202,534850.4789999985,1,1,1,1,1,1,1,1,1,1,1
203,543393.2769999997,1,1,1,1,1,1,1,1,1,1,1
204,658521.2019999971,1,1,1,1,1,1,1,1,1,1,1
205,718672.0629999995,1,1,1,1,1,1,1,1,1,1,1
206,709258.6320000013,1,1,1,1,1,1,1,1,1,1,1
207,682852.9200000002,1,1,1,1,1,1,1,1,1,1,1
208,703208.6960000017,1,1,1,1,1,1,1,1,1,1,1
209,43940.089000000014,1,1,1,1,1,1,1,1,1,1,1
16,371351.88600000064,1,1,1,1,1,1,1,1,1,1,1
17,185503.68299999973,1,1,1,1,1,1,1,1,1,1,1
209,668072.6729999993,1,1,1,1,1,1,1,1,1,1,1
210,707561.2969999982,1,1,1,1,1,1,1,1,1,1,1
211,709193.7310000008,1,1,1,1,1,1,1,1,1,1,1
212,707049.7209999984,1,1,1,1,1,1,1,1,1,1,1
213,699843.250000002,1,1,1,1,1,1,1,1,1,1,1
214,678051.0249999989,1,1,1,1,1,1,1,1,1,1,1
215,696520.9909999992,1,1,1,1,1,1,1,1,1,1,1
216,692967.3079999991,1,1,1,1,1,1,1,1,1,1,1
217,700280.0109999987,1,1,1,1,1,1,1,1,1,1,1
218,369252.39899999974,1,1,1,1,1,1,1,1,1,1,1
17,471230.4060000002,1,1,1,1,1,1,1,1,1,1,1
18,83623.218,1,1,1,1,1,1,1,1,1,1,1
218,326501.4270000004,1,1,1,1,1,1,1,1,1,1,1
219,697202.0689999999,1,1,1,1,1,1,1,1,1,1,1
220,699238.5790000018,1,1,1,1,1,1,1,1,1,1,1
221,697802.0470000006,1,1,1,1,1,1,1,1,1,1,1
222,710901.2749999993,1,1,1,1,1,1,1,1,1,1,1
223,716769.4209999993,1,1,1,1,1,1,1,1,1,1,1
224,643347.5550000007,1,1,1,1,1,1,1,1,1,1,1
225,619530.1010000001,1,1,1,1,1,1,1,1,1,1,1
226,695134.8940000014,1,1,1,1,1,1,1,1,1,1,1
227,654765.6769999983,1,1,1,1,1,1,1,1,1,1,1
228,97062.584,1,1,1,1,1,1,1,1,1,1,1
18,557442.103000001,1,1,1,1,1,1,1,1,1,1,1
228,602859.406,1,1,1,1,1,1,1,1,1,1,1
229,716679.4069999994,1,1,1,1,1,1,1,1,1,1,1
230,672023.6340000003,1,1,1,1,1,1,1,1,1,1,1
231,714257.5830000004,1,1,1,1,1,1,1,1,1,1,1
232,699411.1900000004,1,1,1,1,1,1,1,1,1,1,1
233,709045.7869999976,1,1,1,1,1,1,1,1,1,1,1
234,702155.2359999986,1,1,1,1,1,1,1,1,1,1,1
235,703748.1700000003,1,1,1,1,1,1,1,1,1,1,1
236,698639.6229999999,1,1,1,1,1,1,1,1,1,1,1
237,332857.43,1,1,1,1,1,1,1,1,1,1,1
18,16132.376999999997,1,1,1,1,1,1,1,1,1,1,1
19,525465.9339999997,1,1,1,1,1,1,1,1,1,1,1
237,368297.6990000004,1,1,1,1,1,1,1,1,1,1,1
238,706122.614000002,1,1,1,1,1,1,1,1,1,1,1
239,714977.5020000002,1,1,1,1,1,1,1,1,1,1,1
240,703643.4330000018,1,1,1,1,1,1,1,1,1,1,1
241,694135.0590000002,1,1,1,1,1,1,1,1,1,1,1
242,697247.4489999984,1,1,1,1,1,1,1,1,1,1,1
243,703548.1559999995,1,1,1,1,1,1,1,1,1,1,1
244,704779.2960000018,1,1,1,1,1,1,1,1,1,1,1
245,704707.8599999987,1,1,1,1,1,1,1,1,1,1,1
246,486116.0580000005,1,1,1,1,1,1,1,1,1,1,1
19,122489.3,1,1,1,1,1,1,1,1,1,1,1
20,418777.124,1,1,1,1,1,1,1,1,1,1,1
246,222340.1970000002,1,1,1,1,1,1,1,1,1,1,1
247,719696.6509999994,1,1,1,1,1,1,1,1,1,1,1
248,719436.5500000018,1,1,1,1,1,1,1,1,1,1,1
249,719138.7699999994,1,1,1,1,1,1,1,1,1,1,1
250,715693.2880000018,1,1,1,1,1,1,1,1,1,1,1
251,722834.5160000013,1,1,1,1,1,1,1,1,1,1,1
252,710466.02,1,1,1,1,1,1,1,1,1,1,1
253,718412.889999999,1,1,1,1,1,1,1,1,1,1,1
254,717681.0060000009,1,1,1,1,1,1,1,1,1,1,1
255,625992.8080000019,1,1,1,1,1,1,1,1,1,1,1
20,231302.86800000034,1,1,1,1,1,1,1,1,1,1,1
21,319459.20599999954,1,1,1,1,1,1,1,1,1,1,1
255,87401.32400000002,1,1,1,1,1,1,1,1,1,1,1
256,708928.148,1,1,1,1,1,1,1,1,1,1,1
257,728728.546000002,1,1,1,1,1,1,1,1,1,1,1
258,716979.6060000001,1,1,1,1,1,1,1,1,1,1,1
259,712921.7709999989,1,1,1,1,1,1,1,1,1,1,1
260,714480.9730000012,1,1,1,1,1,1,1,1,1,1,1
261,715980.2699999996,1,1,1,1,1,1,1,1,1,1,1
262,718277.371,1,1,1,1,1,1,1,1,1,1,1
263,732448.9290000014,1,1,1,1,1,1,1,1,1,1,1
264,701555.9150000021,1,1,1,1,1,1,1,1,1,1,1
265,75758.02999999994,1,1,1,1,1,1,1,1,1,1,1
21,344313.12099999946,1,1,1,1,1,1,1,1,1,1,1
22,209533.37500000032,1,1,1,1,1,1,1,1,1,1,1
265,640838.2070000025,1,1,1,1,1,1,1,1,1,1,1
266,715355.5400000018,1,1,1,1,1,1,1,1,1,1,1
267,714012.6080000021,1,1,1,1,1,1,1,1,1,1,1
268,710716.6810000018,1,1,1,1,1,1,1,1,1,1,1
269,700450.3640000003,1,1,1,1,1,1,1,1,1,1,1
270,671856.8280000001,1,1,1,1,1,1,1,1,1,1,1
271,586961.586,1,1,1,1,1,1,1,1,1,1,1
272,562674.5780000008,1,1,1,1,1,1,1,1,1,1,1
273,550984.1469999995,1,1,1,1,1,1,1,1,1,1,1
274,545661.7539999998,1,1,1,1,1,1,1,1,1,1,1
275,547483.3099999997,1,1,1,1,1,1,1,1,1,1,1
276,542031.730000002,1,1,1,1,1,1,1,1,1,1,1
277,555662.9619999991,1,1,1,1,1,1,1,1,1,1,1
278,383244.55899999966,1,1,1,1,1,1,1,1,1,1,1
22,447318.84000000067,1,1,1,1,1,1,1,1,1,1,1
23,648797.5839999988,1,1,1,1,1,1,1,1,1,1,1
278,159086.09399999975,1,1,1,1,1,1,1,1,1,1,1
279,541234.156000001,1,1,1,1,1,1,1,1,1,1,1
280,550893.1419999982,1,1,1,1,1,1,1,1,1,1,1
281,538779.4650000003,1,1,1,1,1,1,1,1,1,1,1
282,566897.2250000014,1,1,1,1,1,1,1,1,1,1,1
283,550331.3780000006,1,1,1,1,1,1,1,1,1,1,1
284,556029.4500000011,1,1,1,1,1,1,1,1,1,1,1
285,557213.5180000017,1,1,1,1,1,1,1,1,1,1,1
286,543041.4440000001,1,1,1,1,1,1,1,1,1,1,1
287,545583.2080000007,1,1,1,1,1,1,1,1,1,1,1
288,539540.6709999993,1,1,1,1,1,1,1,1,1,1,1
289,686476.0730000009,1,1,1,1,1,1,1,1,1,1,1
290,720106.3699999993,1,1,1,1,1,1,1,1,1,1,1
291,716592.6060000004,1,1,1,1,1,1,1,1,1,1,1
292,706535.5739999998,1,1,1,1,1,1,1,1,1,1,1
293,560467.3290000003,1,1,1,1,1,1,1,1,1,1,1
23,11030.520999999997,1,1,1,1,1,1,1,1,1,1,1
24,545502.2880000004,1,1,1,1,1,1,1,1,1,1,1
-2,116714.91600000003,1,1,1,1,1,1,1,1,1,1,1
