min,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
0,0,0,0,0,0,0,0,0,0,0,0,0
5503,4792.828,1,1,1,1,1,1,1,1,1,1,1
5504,11775.126000000002,1,1,1,1,1,1,1,1,1,1,1
5505,11599.389999999996,1,1,1,1,1,1,1,1,1,1,1
5506,12131.942000000003,1,1,1,1,1,1,1,1,1,1,1
5507,11577.595999999998,1,1,1,1,1,1,1,1,1,1,1
5508,11649.187,1,1,1,1,1,1,1,1,1,1,1
5509,10715.876,1,1,1,1,1,1,1,1,1,1,1
5510,11584.485000000002,1,1,1,1,1,1,1,1,1,1,1
5511,11380.36,1,1,1,1,1,1,1,1,1,1,1
5512,11276.702,1,1,1,1,1,1,1,1,1,1,1
5513,12489.483999999999,1,1,1,1,1,1,1,1,1,1,1
5514,11316.773000000001,1,1,1,1,1,1,1,1,1,1,1
5515,11176.198999999999,1,1,1,1,1,1,1,1,1,1,1
5516,11642.115999999998,1,1,1,1,1,1,1,1,1,1,1
5517,11990.445,1,1,1,1,1,1,1,1,1,1,1
5518,10972.171,1,1,1,1,1,1,1,1,1,1,1
5519,11689.491,1,1,1,1,1,1,1,1,1,1,1
5520,11806.302,1,1,1,1,1,1,1,1,1,1,1
5521,9556.325,1,1,1,1,1,1,1,1,1,1,1
5522,10440.478000000001,1,1,1,1,1,1,1,1,1,1,1
5523,12919.283999999998,1,1,1,1,1,1,1,1,1,1,1
5524,11445.570999999994,1,1,1,1,1,1,1,1,1,1,1
5525,10709.571999999993,1,1,1,1,1,1,1,1,1,1,1
5526,11476.142,1,1,1,1,1,1,1,1,1,1,1
5527,10870.645000000004,1,1,1,1,1,1,1,1,1,1,1
5528,10500.408,1,1,1,1,1,1,1,1,1,1,1
5529,10579.966000000002,1,1,1,1,1,1,1,1,1,1,1
5530,11300.539,1,1,1,1,1,1,1,1,1,1,1
5531,10123.068999999998,1,1,1,1,1,1,1,1,1,1,1
5532,10405.732999999997,1,1,1,1,1,1,1,1,1,1,1
5533,10255.063999999997,1,1,1,1,1,1,1,1,1,1,1
5534,11804.664,1,1,1,1,1,1,1,1,1,1,1
5535,11377.872999999998,1,1,1,1,1,1,1,1,1,1,1
5536,11167.185,1,1,1,1,1,1,1,1,1,1,1
5537,11134.156999999997,1,1,1,1,1,1,1,1,1,1,1
5538,10684.628,1,1,1,1,1,1,1,1,1,1,1
5539,10144.570000000003,1,1,1,1,1,1,1,1,1,1,1
5540,9223.712,1,1,1,1,1,1,1,1,1,1,1
5541,9898.202,1,1,1,1,1,1,1,1,1,1,1
5542,10648.923999999997,1,1,1,1,1,1,1,1,1,1,1
5543,12183.062,1,1,1,1,1,1,1,1,1,1,1
5544,10319.951999999997,1,1,1,1,1,1,1,1,1,1,1
5545,11377.413000000004,1,1,1,1,1,1,1,1,1,1,1
5546,11414.598,1,1,1,1,1,1,1,1,1,1,1
5547,11276.358000000002,1,1,1,1,1,1,1,1,1,1,1
5548,10394.856,1,1,1,1,1,1,1,1,1,1,1
5549,10947.997000000001,1,1,1,1,1,1,1,1,1,1,1
5550,10734.678999999996,1,1,1,1,1,1,1,1,1,1,1
5551,11373.802000000005,1,1,1,1,1,1,1,1,1,1,1
5552,11621.805999999999,1,1,1,1,1,1,1,1,1,1,1
5553,10284.261999999999,1,1,1,1,1,1,1,1,1,1,1
5554,10794.266000000001,1,1,1,1,1,1,1,1,1,1,1
5555,10947.007000000003,1,1,1,1,1,1,1,1,1,1,1
5556,10915.739000000001,1,1,1,1,1,1,1,1,1,1,1
5557,10799.379000000003,1,1,1,1,1,1,1,1,1,1,1
5558,11418.858999999999,1,1,1,1,1,1,1,1,1,1,1
5559,10584.451000000003,1,1,1,1,1,1,1,1,1,1,1
5560,10148.810999999998,1,1,1,1,1,1,1,1,1,1,1
5561,11666.257000000001,1,1,1,1,1,1,1,1,1,1,1
5562,11242.418000000001,1,1,1,1,1,1,1,1,1,1,1
5563,11224.152999999997,1,1,1,1,1,1,1,1,1,1,1
5564,11265.659999999996,1,1,1,1,1,1,1,1,1,1,1
5565,10781.19,1,1,1,1,1,1,1,1,1,1,1
5566,11581.371999999998,1,1,1,1,1,1,1,1,1,1,1
5567,11022.34,1,1,1,1,1,1,1,1,1,1,1
5568,11409.359000000002,1,1,1,1,1,1,1,1,1,1,1
5569,11807.499999999998,1,1,1,1,1,1,1,1,1,1,1
5570,11792.221999999996,1,1,1,1,1,1,1,1,1,1,1
5571,10623.417000000001,1,1,1,1,1,1,1,1,1,1,1
5572,11089.550999999998,1,1,1,1,1,1,1,1,1,1,1
5573,9923.583999999999,1,1,1,1,1,1,1,1,1,1,1
5574,10862.515000000003,1,1,1,1,1,1,1,1,1,1,1
5575,11169.990000000002,1,1,1,1,1,1,1,1,1,1,1
5576,11213.527000000004,1,1,1,1,1,1,1,1,1,1,1
5577,10511.694000000003,1,1,1,1,1,1,1,1,1,1,1
5578,9416.361999999994,1,1,1,1,1,1,1,1,1,1,1
5579,11527.720999999996,1,1,1,1,1,1,1,1,1,1,1
5580,9547.992999999997,1,1,1,1,1,1,1,1,1,1,1
5581,12690.939999999999,1,1,1,1,1,1,1,1,1,1,1
5582,10635.270999999997,1,1,1,1,1,1,1,1,1,1,1
5583,10736.746999999998,1,1,1,1,1,1,1,1,1,1,1
5584,10324.024000000001,1,1,1,1,1,1,1,1,1,1,1
5585,10986.577,1,1,1,1,1,1,1,1,1,1,1
5586,11182.099000000002,1,1,1,1,1,1,1,1,1,1,1
5587,10972.87,1,1,1,1,1,1,1,1,1,1,1
5588,11295.113,1,1,1,1,1,1,1,1,1,1,1
5589,10605.562000000004,1,1,1,1,1,1,1,1,1,1,1
5590,10206.03,1,1,1,1,1,1,1,1,1,1,1
5591,11428.510000000002,1,1,1,1,1,1,1,1,1,1,1
5592,10974.540000000003,1,1,1,1,1,1,1,1,1,1,1
5593,11256.295999999998,1,1,1,1,1,1,1,1,1,1,1
