hour,plug,value
0,0,0.46600000000000003
0,1,6.8639999999999999
0,2,17.478999999999999
0,3,1.1659999999999999
0,4,8.7449999999999992
0,5,52.195999999999998
0,6,39.658999999999999
0,7,298.38099999999997
0,8,21.024999999999999
0,9,11.49
0,11,282.11500000000001
1,0,1990.8230000000001
1,1,1530.424
1,2,16105.571
1,3,1217.633
1,4,989.64499999999998
1,5,6368.8620000000001
1,6,4957.7380000000003
1,7,35357.036999999997
1,8,3661.6500000000001
1,9,149.565
1,11,32521.637999999999
2,0,348.72500000000002
2,1,655.32799999999997
2,2,16136.773999999999
2,3,3453.9949999999999
2,4,3047.913
2,5,2390.2840000000001
2,6,3175.2649999999999
2,7,34877.489999999998
2,8,334.52499999999998
2,9,7296.3810000000003
2,11,32011.280999999999
3,0,350.08199999999999
3,1,934.73199999999997
3,2,16079.954
3,3,957.01300000000003
3,4,2560.1849999999999
3,5,220.976
3,6,4168.79
3,7,34706.040999999997
3,8,6306.4610000000002
3,9,1717.3969999999999
3,11,31709.886999999999
4,0,420.27300000000002
4,1,718.30200000000002
4,2,16001.538
4,3,5169.5739999999996
4,4,501.90300000000002
4,5,962.18499999999995
4,6,5957.7510000000002
4,7,33872.663
4,8,833.26599999999996
4,9,1975.998
4,11,30876.510999999999
5,0,351.48200000000003
5,1,97.394999999999996
5,2,16351.857
5,3,5415.9899999999998
5,4,321.04899999999998
5,5,1534.1410000000001
5,6,775.24000000000001
5,7,34207.565000000002
5,8,3319.8649999999998
5,9,5054.3469999999998
5,11,31338.383000000002
6,0,5700.1409999999996
6,1,31.215
6,2,16172.916999999999
6,3,1211.7950000000001
6,4,4505.0069999999996
6,5,2859.0300000000002
6,6,1194.211
6,7,34531.862000000001
6,8,393.08499999999998
6,9,939.99099999999999
6,11,31635.006000000001
7,0,1177.4059999999999
7,1,4322.7619999999997
7,2,16451.080999999998
7,3,3326.0439999999999
7,4,602.86500000000001
7,5,103.223
7,6,1739.9200000000001
7,7,34613.275999999998
7,8,3752.21
7,9,1952.76
7,11,31600.937000000002
8,0,2833.2939999999999
8,1,1298.0060000000001
8,2,16419.185000000001
8,3,78.525000000000006
8,4,572.553
8,5,1830.0429999999999
8,6,2940.5500000000002
8,7,34336.084000000003
8,8,11.004
8,9,7338.0770000000002
8,11,31618.857
9,0,1475.135
9,1,4904.6490000000003
9,2,62917.898999999998
9,3,2668.482
9,4,2076.5680000000002
9,5,42232.021999999997
9,6,32801.883999999998
9,7,34168.866999999998
9,8,7151.223
9,9,2071.3710000000001
9,11,31213.276000000002
10,0,57946.610000000001
10,1,9490.1329999999998
10,2,62262.485000000001
10,3,8243.2999999999993
10,4,6195.1660000000002
10,5,232441.48300000001
10,6,180542.87
10,7,19972.374
10,8,1801.8340000000001
10,9,5158.4489999999996
10,11,10029.924999999999
11,0,12288.466
11,1,31430.401000000002
11,2,28369.252
11,3,9342.4290000000001
11,4,1784.155
11,5,208606.97500000001
11,6,162434.802
11,7,34615.523999999998
11,8,6508.0050000000001
11,9,51342.983999999997
11,11,2959.0479999999998
12,0,71889.161999999997
12,1,12920.319
12,2,12023.904
12,3,5955.482
12,4,47007.921000000002
12,5,223037.89600000001
12,6,173215.33199999999
12,7,38013.794000000002
12,8,13755.611999999999
12,9,17189.134999999998
12,11,8744.2330000000002
13,0,5105.8190000000004
13,1,19417.944
13,2,14818.642
13,3,9452.625
13,4,37758.413999999997
13,5,239603.52499999999
13,6,187389.16399999999
13,7,62541.385999999999
13,8,2730.4650000000001
13,9,15659.314
13,11,2101.2370000000001
14,0,9858.2099999999991
14,1,8178.9549999999999
14,2,9642.8940000000002
14,3,7542.3500000000004
14,4,29767.474999999999
14,5,232821.02499999999
14,6,181801.984
14,7,13437.012000000001
14,8,33619.425999999999
14,9,18868.261999999999
14,11,3348.145
15,0,23296.576000000001
15,1,19009.833999999999
15,2,16671.637999999999
15,3,40043.254000000001
15,4,5174.9769999999999
15,5,229413.96599999999
15,6,177872.11199999999
15,7,19037.357
15,8,17365.294999999998
15,9,14699.263000000001
15,11,9574.9799999999996
16,0,38722.949000000001
16,1,774.13999999999999
16,2,17672.544999999998
16,3,34649.949999999997
16,4,17286.867999999999
16,5,214777.323
16,6,166774.30100000001
16,7,2177.3490000000002
16,8,18162.599999999999
16,9,39600.012999999999
16,11,22527.852999999999
17,0,58449.839999999997
17,1,28876.516
17,2,7940.1350000000002
17,3,5846.7809999999999
17,4,9488.5349999999999
17,5,223076.272
17,6,173038.364
17,7,10698.446
17,8,31960.766
17,9,8955.4940000000006
17,11,20640.488000000001
18,0,25798.296999999999
18,1,62550.991999999998
18,2,14833.194
18,3,2576.3229999999999
18,4,14982.076999999999
18,5,224807.81899999999
18,6,174232.288
18,7,10184.722
18,8,1952.047
18,9,40940.911
18,11,7736.3199999999997
19,0,9717.0300000000007
19,1,29202.774000000001
19,2,6985.8630000000003
19,3,34604.163
19,4,32702.793000000001
19,5,210252.54199999999
19,6,163634.573
19,7,16614.476999999999
19,8,1390.2629999999999
19,9,34242.767
19,11,7765.0410000000002
20,0,1620.6600000000001
20,1,4435.5439999999999
20,2,49684.156999999999
20,3,28392.092000000001
20,4,23799.493999999999
20,5,206888.296
20,6,161162.95600000001
20,7,6885.7780000000002
20,8,3719.788
20,9,55808.868000000002
20,11,4348.3680000000004
21,0,13714.096
21,1,2443.4969999999998
21,2,38982.944000000003
21,3,8299.4979999999996
21,4,13561.217000000001
21,5,200871.704
21,6,156068.95600000001
21,7,40524.197999999997
21,8,18350.795999999998
21,9,18818.491999999998
21,11,32457.306
22,0,329.97899999999998
22,1,18361.454000000002
22,2,25034.191999999999
22,3,9280.0859999999993
22,4,3692.5720000000001
22,5,206553.932
22,6,160966.35500000001
22,7,6785.7280000000001
22,8,17871.830999999998
22,9,23505.939999999999
22,11,95116.539000000004
23,0,792.47500000000002
23,1,4324.3159999999998
23,2,33596.302000000003
23,3,16381.804
23,4,6295.4639999999999
23,5,22494.360000000001
23,6,17938.931
23,7,1286.6179999999999
23,8,35536.612999999998
23,9,49680.339999999997
23,11,11647.960999999999
24,0,3505.0120000000002
24,1,3830.7559999999999
24,2,14109.843999999999
24,3,6584.2250000000004
24,4,30109.740000000002
24,5,4929.4589999999998
24,6,17050.183000000001
24,7,14655.322
24,8,41245.220999999998
24,9,38429.409
24,11,14128.867
25,0,20155.277999999998
25,1,9363.9110000000001
25,2,23055.291000000001
25,3,2492.239
25,4,1590.779
25,5,8545.5280000000002
25,6,396.14100000000002
25,7,3803.9099999999999
25,8,11067.748
25,9,12469.245999999999
25,11,6131.5550000000003
26,0,2307.5749999999998
26,1,10575.578
26,2,9375.8950000000004
26,3,9681.0720000000001
26,4,9191.1479999999992
26,5,278.51600000000002
26,6,14014.073
26,7,23345.985000000001
26,8,13997.779
26,9,405.86099999999999
26,11,5607.9489999999996
27,0,5858.7439999999997
27,1,31311.457999999999
27,2,1459.518
27,3,13841.838
27,4,716.91999999999996
27,5,5166.7039999999997
27,6,5403.8500000000004
27,7,5561.5789999999997
27,8,14908.826999999999
27,9,14148.815000000001
27,11,1242.1320000000001
28,0,4819.8130000000001
28,1,11518.698
28,2,3843.2849999999999
28,3,21319.190999999999
28,4,5411.9560000000001
28,5,4541.4610000000002
28,6,4502.9129999999996
28,7,4082.6750000000002
28,8,1964.4649999999999
28,9,16223.195
28,11,21574.083999999999
29,0,9036.4259999999995
29,1,12258.129000000001
29,2,9145.2340000000004
29,3,691.24000000000001
29,4,2430.6149999999998
29,5,20215.862000000001
29,6,5203.1109999999999
29,7,13363.688
29,8,2387.7190000000001
29,9,18907.444
29,11,5170.5230000000001
30,0,7064.7600000000002
30,1,567.22400000000005
30,2,18636.938999999998
30,3,4715.2719999999999
30,4,3570.1199999999999
30,5,15627.959999999999
30,6,2208.252
30,7,259.09800000000001
30,8,15861.816999999999
30,9,4848.3010000000004
30,11,24602.280999999999
31,0,1093.1179999999999
31,1,1165.2149999999999
31,2,2761.9430000000002
31,3,383.87
31,4,11787.558000000001
31,5,36425.409
31,6,888.53599999999994
31,7,866.56500000000005
31,8,3958.2739999999999
31,9,33738.010999999999
31,11,6158.5770000000002
32,0,2419.9899999999998
32,1,1163.501
32,2,12187.648999999999
32,3,13430.374
32,4,26457.370999999999
32,5,6870.9650000000001
32,6,20533.947
32,7,11329.941000000001
32,8,33125.294999999998
32,9,4226.1469999999999
32,11,9713.8739999999998
33,0,5512.8299999999999
33,1,3194.5830000000001
33,2,6405.3379999999997
33,3,5020.2439999999997
33,4,25379.444
33,5,21923.130000000001
33,6,1375.6110000000001
33,7,2252.0659999999998
33,8,47016.273000000001
33,9,19089.398000000001
33,11,13300.758
34,0,13950.712
34,1,13171.566000000001
34,2,20113.650000000001
34,3,3010.9140000000002
34,4,22724.034
34,5,14356.657999999999
34,6,8510.6720000000005
34,7,19476.923999999999
34,8,2121.4059999999999
34,9,17099.710999999999
34,11,14287.927
35,0,2409.3090000000002
35,1,11580.536
35,2,26308.888999999999
35,3,12201.677
35,4,2905.8679999999999
35,5,21952.240000000002
35,6,464.012
35,7,2612.9090000000001
35,8,5643.2650000000003
35,9,9607.3539999999994
35,11,3597.7660000000001
36,0,27751.449000000001
36,1,29565.173999999999
36,2,745.26099999999997
36,3,12980.511
36,4,11021.932000000001
36,5,37591.559999999998
36,6,9104.2109999999993
36,7,50960.493000000002
36,8,19044.639999999999
36,9,24140.553
36,11,46077.728000000003
37,0,27434.059000000001
37,1,6583.1289999999999
37,2,973.95399999999995
37,3,19106.901999999998
37,4,11745.206
37,5,237179.72500000001
37,6,185137.98499999999
37,7,18662.136999999999
37,8,6018.866
37,9,27616.721000000001
37,11,21796.652999999998
38,0,2526.3600000000001
38,1,39649.889000000003
38,2,20763.391
38,3,6179.2359999999999
38,4,19754.040000000001
38,5,215675.93799999999
38,6,168081.323
38,7,17845.829000000002
38,8,9940.4040000000005
38,9,28856.846000000001
