hour,plug,value
0,0,1.5880000000000001
0,1,15.882999999999999
0,2,6.8819999999999997
0,3,6.3529999999999998
0,4,8.4710000000000001
0,5,52.195999999999998
0,6,39.658999999999999
0,7,298.38099999999997
0,8,13.765000000000001
0,9,14.294
0,11,282.11500000000001
1,0,2956.203
1,1,180.292
1,2,16105.571
1,3,1229.645
1,4,3817.4899999999998
1,5,6368.8620000000001
1,6,4957.7380000000003
1,7,35357.036999999997
1,8,1245.3869999999999
1,9,110.723
1,11,32521.637999999999
2,0,596.99599999999998
2,1,362.94200000000001
2,2,16136.773999999999
2,3,287.88099999999997
2,4,164.471
2,5,5599.4849999999997
2,6,4050.136
2,7,34877.489999999998
2,8,8675.8220000000001
2,9,964.68299999999999
2,11,32011.280999999999
3,0,2520.4369999999999
3,1,1730.788
3,2,16079.954
3,3,1538.75
3,4,447.15100000000001
3,5,4215.0360000000001
3,6,4215.96
3,7,34706.040999999997
3,8,1925.4559999999999
3,9,622.05899999999997
3,11,31709.886999999999
4,0,93.513000000000005
4,1,857.56399999999996
4,2,16001.538
4,3,530.36400000000003
4,4,1405.5930000000001
4,5,3901.9690000000001
4,6,4057.5599999999999
4,7,33872.663
4,8,5056.2219999999998
4,9,636.46799999999996
4,11,30876.510999999999
5,0,1333.192
5,1,1165.683
5,2,16351.857
5,3,851.73199999999997
5,4,2034.7819999999999
5,5,3655.5070000000001
5,6,4764.6800000000003
5,7,34207.565000000002
5,8,1550.6110000000001
5,9,1513.3230000000001
5,11,31338.383000000002
6,0,5404.3440000000001
6,1,1138.47
6,2,16172.916999999999
6,3,1036.799
6,4,271.06400000000002
6,5,4345.5309999999999
6,6,3787.8029999999999
6,7,34531.862000000001
6,8,67.766000000000005
6,9,782.69799999999998
6,11,31635.006000000001
7,0,652.73199999999997
7,1,1614.45
7,2,16451.080999999998
7,3,272.15600000000001
7,4,2755.1210000000001
7,5,5851.7160000000003
7,6,4777.8890000000001
7,7,34613.275999999998
7,8,740.27800000000002
7,9,312.84800000000001
7,11,31600.937000000002
8,0,162.83000000000001
8,1,16.870000000000001
8,2,16419.185000000001
8,3,752.80600000000004
8,4,3046.1019999999999
8,5,7332.7860000000001
8,6,2658.9749999999999
8,7,34336.084000000003
8,8,2674.9659999999999
8,9,256.71499999999997
8,11,31618.857
9,0,3602.444
9,1,7872.7079999999996
9,2,62917.898999999998
9,3,558.822
9,4,2745.395
9,5,42232.021999999997
9,6,32801.883999999998
9,7,34168.866999999998
9,8,1390.0440000000001
9,9,4178.0150000000003
9,11,31213.276000000002
10,0,3581.9520000000002
10,1,33869.794000000002
10,2,62262.485000000001
