hour,plug,value
0,2,144.96699999999998
0,5,53.205
0,6,40.351
0,7,263.56100000000004
0,11,248.23199999999997
1,2,17301.775999999805
1,3,8.655000000000001
1,5,6824.4340000000075
1,6,5314.829000000009
1,7,35636.65700000008
1,11,32763.19800000014
2,2,17314.398999999834
2,3,13.28
2,5,6813.716000000005
2,6,5277.152000000008
2,7,34905.15400000014
2,11,32023.83400000006
3,2,17309.58799999982
3,3,14.951999999999998
3,5,4943.020999999955
3,6,3838.1810000000064
3,7,35172.81900000005
3,11,32141.791000000092
4,2,17187.61999999985
4,3,19.393999999999995
4,5,4615.149999999954
4,6,3574.8319999999917
4,7,34350.41700000008
4,11,31256.83500000006
5,2,17499.480999999847
5,3,11.799
5,5,4712.584999999959
5,6,3668.2750000000015
5,7,35819.50900000001
5,11,32806.16800000003
6,2,17254.94699999983
6,3,13.170999999999998
6,5,4700.8349999999655
6,6,3669.3079999999945
6,7,35075.24999999997
6,11,32131.865999999995
7,2,17687.598999999864
7,3,14.731999999999998
7,5,4790.065999999954
7,6,3722.0410000000047
7,7,35089.92400000012
7,11,32046.258000000078
8,2,17650.748999999832
8,3,13.597999999999999
8,5,4784.485999999951
8,6,3715.8470000000025
8,7,34905.1010000001
8,11,32090.654000000017
9,2,67756.15399999985
9,3,14.032999999999998
9,5,45308.74699999997
9,6,35168.044999999984
9,7,35671.60200000001
9,11,32551.99800000006
10,2,67164.3029999998
10,3,13.105999999999996
10,5,251162.1480000002
10,6,195048.77599999934
10,7,35080.352000000086
10,11,32116.281000000094
11,2,67410.61799999989
11,3,7.890999999999999
11,5,224952.86900000065
11,6,175237.61300000036
11,7,34664.89100000012
11,11,31817.23900000007
12,2,69250.81499999973
12,3,10.518999999999998
12,5,240044.18200000032
12,6,186427.19599999997
12,7,59573.23600000001
12,11,54222.1239999999
13,2,51513.09300000025
13,3,8.706999999999999
13,5,254127.86699999945
13,6,198817.77700000035
13,7,34880.936000000125
13,11,32175.738000000063
14,2,16960.778999999853
14,3,11.510999999999997
14,5,242482.98100000044
14,6,189530.44899999976
14,7,35210.46700000005
14,9,1146.4209999999996
14,11,32341.32900000005
15,2,41938.12300000004
15,3,6.7
15,5,243878.97300000006
15,6,189046.2449999996
15,7,34974.931000000055
15,9,8756.48799999999
15,11,31999.777000000064
16,2,72126.01799999972
16,3,3.6730000000000005
16,5,230567.38499999896
16,6,178925.46200000073
16,7,35386.16400000003
16,9,8764.469999999976
16,11,32424.217000000044
17,2,68118.71899999981
17,3,5.514
17,5,242260.199
17,6,187856.2549999995
17,7,34894.094999999994
17,9,1568.2649999999974
17,11,31981.814000000075
18,2,67951.49699999993
18,3,11.994
18,5,242889.50599999967
18,6,188172.13199999946
18,7,34751.11800000005
18,11,31873.572000000004
19,2,63589.13199999992
19,3,8.01
19,5,226506.4870000001
19,6,176282.95799999966
19,7,33761.443999999996
19,11,31143.27600000004
20,2,68409.6509999998
20,3,9.876999999999997
20,5,223713.9309999996
20,6,174241.1730000007
20,7,34900.17299999995
20,11,32084.24900000004
21,2,64698.761999999886
21,3,8.114
21,5,215125.91199999978
21,6,167140.74700000053
21,7,35422.79200000008
21,9,13255.271000000015
21,11,32464.17800000003
22,2,65475.320999999894
22,3,9.051
22,4,17932.895999999997
22,5,221073.4759999996
22,6,172200.8500000008
22,7,34411.77900000009
22,9,5410.190000000031
22,11,31499.970000000045
23,2,65061.46299999977
23,3,7.648
23,4,11586.68699999999
23,5,23838.823999999822
23,6,18593.831000000024
23,7,34589.12400000003
23,9,2635.058000000003
23,11,31650.355000000087
24,2,42979.157000000676
24,3,13.748000000000001
24,5,4632.832999999959
24,6,3589.6030000000014
24,7,67282.88699999993
24,9,1243.0699999999986
24,11,61376.19299999996
25,2,17323.98199999985
25,3,10.754999999999997
25,5,4707.810999999967
25,6,3658.960000000002
25,7,33541.858000000044
25,9,1694.0439999999994
25,11,30731.56699999999
26,2,17371.883999999827
