HH,hour,plug,value
0,0,2,154.43900000000002
0,0,5,57.416
0,0,6,43.625
0,0,7,328.219
0,0,11,310.3269999999999
1,0,0,338.21500000000003
1,0,2,584.0849999999999
1,0,3,2702.802
1,0,4,301.199
1,0,5,267.014
2,0,2,4132.917
2,0,5,94.855
3,0,0,631.682
3,0,1,3091.5150000000003
3,0,3,242.833
6,0,0,4656.333
6,0,2,182.81900000000002
6,0,4,1158.461
6,0,5,99.98800000000001
6,0,10,68.201
6,0,11,501.167
7,0,0,5551.130999999999
7,0,6,275.478
7,0,7,489.342
8,0,0,143.57
8,0,4,126.029
8,0,9,662.959
9,0,1,160.26600000000002
9,0,7,2567.11
9,0,8,6073.397000000001
10,0,1,4738.35
10,0,2,160.404
11,0,2,297.951
12,0,0,130.773
13,0,0,2828.5620000000004
13,0,1,2614.3540000000003
13,0,3,6057.583
13,0,5,315.128
13,0,7,80.424
13,0,11,249.90900000000005
0,1,2,17716.127999999793
0,1,3,8.655000000000001
0,1,5,7005.748000000008
0,1,6,5453.512000000017
0,1,7,38892.74100000004
0,1,11,35773.80200000013
1,1,0,38155.99100000024
1,1,2,69624.66200000016
1,1,3,258193.03999999954
1,1,4,33797.759000000035
1,1,5,32935.85699999977
2,1,2,395590.1600000024
2,1,5,11659.314999999937
3,1,0,74174.89299999976
3,1,1,295334.1799999999
3,1,3,27057.701000000267
6,1,0,453714.6229999991
6,1,1,27.059999999999995
6,1,2,20838.743999999875
6,1,4,135776.3280000007
6,1,5,11041.706000000087
6,1,8,10.38
6,1,10,8442.095000000058
6,1,11,56295.873000000254
7,1,0,528242.4159999994
7,1,6,32056.603000000057
7,1,7,55113.71500000023
8,1,0,16194.84699999995
8,1,2,9.884
8,1,4,15624.290000000075
8,1,5,27.144999999999996
8,1,9,76536.21500000011
9,1,1,19839.186999999958
9,1,2,14.404999999999998
9,1,7,250693.77400000126
9,1,8,580060.5229999989
10,1,1,459950.64000000065
10,1,2,19692.884000000075
11,1,2,35534.309000000096
12,1,0,16252.61999999999
13,1,0,272357.81399999774
13,1,1,254217.23700000034
13,1,3,584940.5290000036
13,1,4,13.775999999999998
13,1,5,35493.99900000008
13,1,7,9959.894999999935
13,1,11,28068.86899999994
0,2,2,17750.45099999983
0,2,3,13.28
0,2,5,6981.115000000007
0,2,6,5405.468000000013
0,2,7,38365.23900000012
0,2,11,35212.4090000001
1,2,0,38318.92300000026
1,2,2,68490.92400000016
1,2,3,27216.044999999845
1,2,4,33964.42000000004
1,2,5,32907.663999999844
2,2,2,41653.80399999986
2,2,5,11628.137999999963
3,2,0,73013.91300000016
3,2,1,31156.32499999986
3,2,3,27139.004000000266
6,2,0,47820.46099999969
6,2,1,42.326
6,2,2,20951.50799999987
6,2,4,133655.4020000008
6,2,5,11113.722000000076
6,2,8,16.491000000000003
6,2,10,8432.313000000036
6,2,11,56557.93500000017
7,2,0,55633.21300000043
7,2,6,31537.83800000007
7,2,7,55310.54400000024
8,2,0,16247.993999999953
8,2,2,15.988
8,2,4,15580.92800000002
8,2,5,43.054
8,2,9,75337.01199999986
9,2,1,19812.23799999993
9,2,2,22.801000000000002
9,2,7,26386.51500000017
9,2,8,61147.764999999556
10,2,1,48351.39500000026
10,2,2,19661.72500000005
11,2,2,34983.56600000014
12,2,0,16238.192000000001
13,2,0,28631.162000000317
13,2,1,26786.344000000034
13,2,3,61649.54899999977
13,2,4,21.852
13,2,5,35685.11400000009
13,2,7,9966.739999999903
13,2,11,28201.864999999867
0,3,2,17687.948999999808
0,3,3,14.951999999999998
0,3,5,5037.504999999953
0,3,6,3913.593000000007
0,3,7,38176.645000000055
0,3,11,34880.87600000007
1,3,0,38189.27500000021
1,3,2,67945.30400000013
1,3,3,18415.67299999993
1,3,4,33858.771000000044
1,3,5,23714.655999999748
2,3,2,28254.709999999846
2,3,5,8388.537999999975
3,3,0,72695.44200000014
3,3,1,21082.77999999992
3,3,3,27125.387000000195
6,3,0,32370.42700000023
6,3,1,46.387
6,3,2,20851.259999999915
6,3,4,132921.00900000066
6,3,5,11035.02200000006
6,3,8,17.91
6,3,10,6074.894999999991
6,3,11,56372.19600000026
7,3,0,37673.36899999998
7,3,6,31344.339000000058
7,3,7,55195.3990000002
8,3,0,16246.070999999982
8,3,2,17.145
8,3,4,11247.279000000095
8,3,5,46.579000000000015
8,3,9,74974.28299999982
9,3,1,14276.289999999988
9,3,2,25.038000000000004
9,3,7,17919.245000000126
9,3,8,41466.38200000009
10,3,1,32792.68400000007
10,3,2,14186.39200000006
11,3,2,34819.179000000084
12,3,0,11715.950999999945
13,3,0,19403.15599999995
13,3,1,18115.274999999998
13,3,3,41746.58099999974
13,3,4,23.71999999999999
13,3,5,35519.54000000004
13,3,7,7175.877999999945
13,3,11,28143.232999999844
0,4,2,17601.691999999846
0,4,3,19.393999999999995
0,4,5,4759.393999999953
0,4,6,3685.393999999992
0,4,7,37259.929000000164
0,4,11,33964.162000000055
1,4,0,37967.76600000031
1,4,2,66072.28700000033
1,4,3,17919.751999999913
1,4,4,33636.14800000005
1,4,5,22379.099999999813
2,4,2,27481.182999999848
2,4,5,7922.159999999984
3,4,0,70603.5080000001
3,4,1,20525.378999999964
3,4,3,26928.624000000276
6,4,0,31527.584000000174
6,4,1,60.27999999999999
6,4,2,20719.649999999874
6,4,4,129260.70400000083
6,4,5,10986.869000000052
6,4,8,22.938000000000002
6,4,10,5733.692999999998
6,4,11,56009.2480000002
7,4,0,36680.729000000014
7,4,6,30536.797000000013
7,4,7,54755.10900000044
8,4,0,16114.116999999938
8,4,2,22.709000000000003
8,4,4,10607.057000000059
8,4,5,60.96
8,4,9,72757.09099999994
9,4,1,13468.716999999995
9,4,2,32.28199999999999
9,4,7,17464.013000000105
9,4,8,40282.4420000001
10,4,1,31928.14100000002
10,4,2,13368.993000000048
11,4,2,33821.20200000009
12,4,0,11048.810999999932
13,4,0,18896.3299999999
13,4,1,17656.294000000013
13,4,3,40621.9189999999
13,4,4,30.929000000000002
13,4,5,35347.68100000014
13,4,7,6786.290999999938
13,4,11,27926.78899999986
0,5,2,17987.042999999816
0,5,3,11.799
0,5,5,4874.344999999954
0,5,6,3793.5860000000016
0,5,7,37628.32099999998
0,5,11,34472.22100000011
1,5,0,38801.25000000025
1,5,2,67043.57000000021
1,5,3,18429.016999999923
1,5,4,34364.95500000003
1,5,5,22938.624999999774
2,5,2,28270.745999999817
2,5,5,8131.83699999997
3,5,0,71698.92699999992
3,5,1,21120.96399999994
3,5,3,27483.444000000225
6,5,0,32400.710000000086
6,5,1,37.047000000000004
6,5,2,21222.901999999867
6,5,4,131249.90700000053
6,5,5,11217.475000000051
6,5,8,13.801000000000004
6,5,10,5892.6489999999885
6,5,11,57268.093000000335
7,5,0,37683.31100000001
7,5,6,30846.748000000003
7,5,7,56005.927000000425
8,5,0,16519.909999999978
8,5,2,13.837000000000002
8,5,4,10877.521000000052
8,5,5,36.97299999999999
8,5,9,73906.5520000001
9,5,1,13806.568999999976
9,5,2,19.825
9,5,7,17874.8360000001
9,5,8,41409.8920000001
10,5,1,32781.42000000003
10,5,2,13715.51300000004
11,5,2,34325.46200000013
12,5,0,11321.898999999907
13,5,0,19390.89199999998
13,5,1,18181.013999999992
13,5,3,41740.21499999992
13,5,4,18.921999999999997
13,5,5,36059.11200000016
13,5,7,6965.798999999935
13,5,11,28554.653999999857
0,6,2,17790.208999999817
0,6,3,13.170999999999998
0,6,5,4822.44099999996
0,6,6,3764.883999999997
0,6,7,37985.048000000024
0,6,11,34798.50699999998
1,6,0,38454.45000000026
1,6,2,67749.68200000026
1,6,3,18398.796999999922
1,6,4,34042.47200000002
1,6,5,22741.603999999756
2,6,2,28298.978999999843
2,6,5,8059.226999999969
3,6,0,72395.35900000014
3,6,1,21066.93199999996
3,6,3,27237.166000000252
6,6,0,32358.232000000175
6,6,1,42.36
6,6,2,20990.786999999902
6,6,4,132320.60100000072
6,6,5,11116.07100000007
6,6,8,16.406000000000002
6,6,10,5835.078000000001
6,6,11,56750.34900000021
7,6,0,37644.08300000004
