hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
0,739.5869999999999,0.46600000000000003,6.8639999999999999,17.478999999999999,1.1659999999999999,8.7449999999999992,52.195999999999998,39.658999999999999,298.38099999999997,21.024999999999999,11.49,282.11500000000001
1,104850.58599999998,1990.8230000000001,1530.424,16105.571,1217.633,989.64499999999998,6368.8620000000001,4957.7380000000003,35357.036999999997,3661.6500000000001,149.565,32521.637999999999
2,103727.96200000007,348.72500000000002,655.32799999999997,16136.773999999999,3453.9949999999999,3047.913,2390.2840000000001,3175.2649999999999,34877.489999999998,334.52499999999998,7296.3810000000003,32011.280999999999
3,99711.5199999999,350.08199999999999,934.73199999999997,16079.954,957.01300000000003,2560.1849999999999,220.976,4168.79,34706.040999999997,6306.4610000000002,1717.3969999999999,31709.886999999999
4,97289.96500000001,420.27300000000002,718.30200000000002,16001.538,5169.5739999999996,501.90300000000002,962.18499999999995,5957.7510000000002,33872.663,833.26599999999996,1975.998,30876.510999999999
5,98767.31499999986,351.48200000000003,97.394999999999996,16351.857,5415.9899999999998,321.04899999999998,1534.1410000000001,775.24000000000001,34207.565000000002,3319.8649999999998,5054.3469999999998,31338.383000000002
6,99174.25999999978,5700.1409999999996,31.215,16172.916999999999,1211.7950000000001,4505.0069999999996,2859.0300000000002,1194.211,34531.862000000001,393.08499999999998,939.99099999999999,31635.006000000001
7,99642.48300000001,1177.4059999999999,4322.7619999999997,16451.080999999998,3326.0439999999999,602.86500000000001,103.223,1739.9200000000001,34613.275999999998,3752.21,1952.76,31600.937000000002
8,99276.17699999979,2833.2939999999999,1298.0060000000001,16419.185000000001,78.525000000000006,572.553,1830.0429999999999,2940.5500000000002,34336.084000000003,11.004,7338.0770000000002,31618.857
9,223681.37599999981,1475.135,4904.6490000000003,62917.898999999998,2668.482,2076.5680000000002,42232.021999999997,32801.883999999998,34168.866999999998,7151.223,2071.3710000000001,31213.276000000002
10,594084.6299999993,57946.610000000001,9490.1329999999998,62262.485000000001,8243.2999999999993,6195.1660000000002,232441.48300000001,180542.87,19972.374,1801.8340000000001,5158.4489999999996,10029.924999999999
11,549682.041000001,12288.466,31430.401000000002,28369.252,9342.4290000000001,1784.155,208606.97500000001,162434.802,34615.523999999998,6508.0050000000001,51342.983999999997,2959.0479999999998
12,623752.7909999999,71889.161999999997,12920.319,12023.904,5955.482,47007.921000000002,223037.89600000001,173215.33199999999,38013.794000000002,13755.611999999999,17189.134999999998,8744.2330000000002
13,596578.537,5105.8190000000004,19417.944,14818.642,9452.625,37758.413999999997,239603.52499999999,187389.16399999999,62541.385999999999,2730.4650000000001,15659.314,2101.2370000000001
14,548885.7370000003,9858.2099999999991,8178.9549999999999,9642.8940000000002,7542.3500000000004,29767.474999999999,232821.02499999999,181801.984,13437.012000000001,33619.425999999999,18868.261999999999,3348.145
15,572159.2519999999,23296.576000000001,19009.833999999999,16671.637999999999,40043.254000000001,5174.9769999999999,229413.96599999999,177872.11199999999,19037.357,17365.294999999998,14699.263000000001,9574.9799999999996
16,573125.8919999994,38722.949000000001,774.13999999999999,17672.544999999998,34649.949999999997,17286.867999999999,214777.323,166774.30100000001,2177.3490000000002,18162.599999999999,39600.012999999999,22527.852999999999
17,578971.6359999994,58449.839999999997,28876.516,7940.1350000000002,5846.7809999999999,9488.5349999999999,223076.272,173038.364,10698.446,31960.766,8955.4940000000006,20640.488000000001
18,580594.9889999989,25798.296999999999,62550.991999999998,14833.194,2576.3229999999999,14982.076999999999,224807.81899999999,174232.288,10184.722,1952.047,40940.911,7736.3199999999997
19,547112.2849999998,9717.0300000000007,29202.774000000001,6985.8630000000003,34604.163,32702.793000000001,210252.54199999999,163634.573,16614.476999999999,1390.2629999999999,34242.767,7765.0410000000002
20,546746.0009999999,1620.6600000000001,4435.5439999999999,49684.156999999999,28392.092000000001,23799.493999999999,206888.296,161162.95600000001,6885.7780000000002,3719.788,55808.868000000002,4348.3680000000004
21,544092.7040000005,13714.096,2443.4969999999998,38982.944000000003,8299.4979999999996,13561.217000000001,200871.704,156068.95600000001,40524.197999999997,18350.795999999998,18818.491999999998,32457.306
