hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-3,750.3159999999999,16.574999999999999,15.087,131.78800000000001,2.762,8.7119999999999997,48.368000000000002,36.683,239.601,22.524999999999999,2.5499999999999998,225.66499999999999
-2,97849.5490000001,3457.6950000000002,297.86799999999999,15728.887000000001,138.661,2191.9650000000001,6204.0309999999999,4831.6629999999996,32396.960999999999,2096.7139999999999,720.37800000000004,29784.724999999999
-1,96347.5350000003,441.70499999999998,1463.675,15740.362999999999,6510.5010000000002,3286.2109999999998,3048.0529999999999,2556.5410000000002,31731.957999999999,2277.0709999999999,178.881,29112.576000000001
0,93420.35200000022,797.18799999999999,1868.4169999999999,15735.989,1518.3679999999999,720.74900000000002,4996.357,1301.4290000000001,31975.290000000001,4612.3580000000002,674.39700000000005,29219.810000000001
1,91004.24800000023,1544.9079999999999,2032.0650000000001,15625.109,3634.8380000000002,680.39800000000002,2769.0329999999999,3059.1930000000002,31227.651999999998,415.61399999999998,1600.133,28415.305
2,94517.81700000045,3795.8899999999999,567.53899999999999,15908.619000000001,1062.7280000000001,1956.336,6444.7520000000004,1051.376,32563.189999999999,124.72199999999999,1218.877,29823.789000000001
3,92845.37700000046,2343.2950000000001,1159.2850000000001,15686.315000000001,1010.199,3893.799,4198.5990000000002,1748.152,31886.591,1505.0730000000001,203.28299999999999,29210.787
4,93350.62000000032,2061.625,3418.7660000000001,16079.635,2740.7849999999999,966.02800000000002,3499.3069999999998,1226.115,31899.931,1987.9290000000001,337.536,29132.962
5,93160.43500000042,2714.203,3700.8000000000002,16046.135,1135.7660000000001,1147.1420000000001,3895.1790000000001,3173.578,31731.91,408.67899999999997,33.720999999999997,29173.322
6,216470.57900000075,3443.0230000000001,4248.9309999999996,61596.504000000001,1859.385,3229.915,41189.769999999997,31970.950000000001,32428.728999999999,175.13900000000001,6735.5069999999996,29592.724999999999
7,580584.9660000014,6601.884,10785.267,61058.457000000002,14919.101000000001,18157.244999999999,228329.22500000001,177317.06899999999,12602.772999999999,15099.661,11167.891,24546.392
8,534091.1209999984,30637.859,14939.450000000001,31339.416000000001,30988.383999999998,2269.1280000000002,204502.60800000001,159306.921,37557.372000000003,2473.3679999999999,7350.8559999999998,12725.759
9,609528.0719999975,24460.295999999998,4409.6700000000001,23306.473000000002,24976.245999999999,37938.222000000002,218221.984,169479.269,19354.652999999998,25520.026000000002,27237.762999999999,34623.470000000001
10,571524.1179999989,4341.5720000000001,3093.317,26463.762999999999,3364.2080000000001,1861.154,231025.334,180743.43400000001,30750.669000000002,59394.409,19863.682000000001,10622.575999999999
11,517683.93700000003,6138.1180000000004,5156.0150000000003,4886.2870000000003,6603.7700000000004,929.80999999999995,220439.07399999999,172300.408,77076.351999999999,3646.9090000000001,7818.3779999999997,12688.816999999999
12,550601.2369999994,404.72699999999998,7778.0119999999997,35457.536,354.21199999999999,7180.4350000000004,221708.15700000001,171860.223,17474.927,69321.601999999999,10024.253000000001,9037.1530000000002
13,558197.3890000001,7154.6329999999998,18859.514999999999,55201.332999999999,33660.031000000003,2120.828,209606.71400000001,162659.511,14233.069,27980.277999999998,16912.788,9808.6900000000005
14,566684.8610000014,13634.120999999999,2880.2869999999998,30027.771000000001,12009.337,26409.830000000002,220236.54500000001,170778.41399999999,10097.516,8612.1209999999992,20114.240000000002,51884.678999999996
15,565649.8189999996,51252.462,10280.183999999999,27078.139999999999,7667.0940000000001,9227.3189999999995,220808.64199999999,171065.57500000001,8246.2780000000002,32248.644,16923.302,10852.178
16,531291.3069999985,29602.108,10429.513999999999,21392.569,1844.9000000000001,24793.742999999999,205914.98800000001,160257.23499999999,47471.341999999997,9379.5900000000001,9536.5030000000006,10668.815000000001
17,533359.0539999973,2304.4079999999999,7478.6880000000001,65125.811999999998,1942.106,21550.424999999999,203376.30100000001,158401.06599999999,9473.6499999999996,26031.169999999998,29987.935000000001,7687.4930000000004
18,528115.7760000003,22053.296999999999,48647.542000000001,39091.978000000003,14024.758,2025.452,195569.011,151946.13399999999,5808.0889999999999,798.70899999999995,33026.334000000003,15124.471
19,548013.5330000002,142.05799999999999,19297.864000000001,21890.421999999999,22787.003000000001,44806.243000000002,200975.88699999999,156546.22700000001,35355.123,24766.281999999999,1217.249,20229.177
20,187962.98999999874,334.899,22670.284,11572.751,3190.944,11133.147999999999,10549.101000000001,16967.965,44042.963000000003,26192.472000000002,29280.099999999999,12028.364
21,181117.49100000036,63.490000000000002,14160.880999999999,11418.528,6025.5829999999996,23766.554,6511.9920000000002,10772.728999999999,13792.651,44726.894999999997,20153.881000000001,29724.309000000001
22,91668.97700000004,988.00400000000002,6901.7730000000001,24946.879000000001,17180.889999999999,12704.003000000001,1429.348,5439.3980000000001,15057.257,38.948,1612.663,5369.8140000000003
23,93879.2800000001,1057.7339999999999,12565.762000000001,15838.484,6954.5280000000002,992.13800000000003,14200.856,7459.6379999999999,4861.8440000000001,11673.282999999999,10169.052,8105.9610000000002
24,94813.0130000001,6827.9489999999996,1268.8989999999999,9262.0820000000003,13223.615,464.56799999999998,1524.4059999999999,3996.0279999999998,24677.612000000001,10244.962,2424.585,20898.307000000001
25,93426.32900000032,521.62699999999995,1272.153,7897.8289999999997,9391.518,6986.8969999999999,6032.6049999999996,893.96299999999997,4395.6419999999998,1677.432,7826.8770000000004,46529.786999999997
26,92545.94100000011,1308.913,13980.578,13335.124,3354.1849999999999,10056.785,1243.752,1439.6769999999999,4902.384,28716.830000000002,8620.9390000000003,5586.7740000000003
27,94015.81000000011,15980.422,5357.4690000000001,3701.299,4914.6040000000003,16374.956,1142.2650000000001,8041.3729999999996,10228.833000000001,1317.75,21815.035,5141.8050000000003
28,92587.66400000047,7165.6130000000003,955.654,2424.0250000000001,6429.2610000000004,21381.134999999998,5479.2719999999999,22850.277999999998,6665.2039999999997,7214.2820000000002,1599.9200000000001,10423.019
29,135309.21099999984,18304.02,5480.8019999999997,12073.931,5685.6480000000001,24249.524000000001,17474.666000000001,5759.3310000000001,9236.4619999999995,9199.6790000000001,16392.981,11452.166999999999
30,145328.21699999992,4384.8500000000004,15098.440000000001,29005.465,15249.130999999999,31564.098000000002,3725.1729999999998,1449.521,17186.155999999999,4823.6620000000003,14994.271000000001,7847.451
31,141134.2620000003,17759.226999999999,22721.975999999999,11230.056,23249.641,25570.939999999999,3679.1860000000001,5119.7809999999999,11311.518,7045.5630000000001,1161.7070000000001,12284.665000000001
32,93813.06000000038,3983.1329999999998,7312.1689999999999,14446.919,3178.8449999999998,3462.8820000000001,8838.2549999999992,12003.402,15503.616,6120.7030000000004,4953.9210000000003,14009.213
33,262392.0230000006,14371.922,20069.673999999999,34243.995000000003,7441.4750000000004,3077.3249999999998,32352.768,17782.438999999998,40738.087,54358.760999999999,26061.787,11893.790999999999
34,548672.3580000001,449.27800000000002,9225.2139999999999,3988.7310000000002,30850.151000000002,8965.7199999999993,233274.663,182009.21599999999,21011.594000000001,12517.585999999999,27294.404999999999,19085.800999999999
35,519582.0089999991,32224.939999999999,1446.1590000000001,16172.34,13671.342000000001,16316.620000000001,211859.69099999999,165104.86600000001,18732.588,24240.721000000001,16201.642,3611.0999999999999
36,526333.3320000009,12556.871999999999,12376.847,13242.581,1183.028,12483.004999999999,226320.101,175023.11499999999,16246.123,1676.4739999999999,6632.8370000000004,48592.349000000002
37,446012.1000000007,1496.4480000000001,21508.75,10319.106,24705.110000000001,1311.8869999999999,187471.23000000001,145785.79399999999,5375.3040000000001,20895.706999999999,9631.6499999999996,17511.114000000001
38,123950.99100000008,23184.73,16915.355,8728.2700000000004,15855.119000000001,19928.346000000001,12702.657999999999,7828.8059999999996,5136.7690000000002,5021.2340000000004,3358.9490000000001,5290.7550000000001
39,496231.82699999964,19208.996999999999,5364.7269999999999,14645.791999999999,28546.466,3072.2429999999999,205296.80600000001,160146.95999999999,6130.0230000000001,10464.164000000001,38044.415999999997,5311.2340000000004
40,552880.0029999979,22380.556,5416.5069999999996,49432.553,11257.066000000001,3450.0929999999998,215651.79199999999,166924.24600000001,24452.403999999999,35266.883999999998,3212.8029999999999,15435.1
41,507637.7549999996,37151.150999999998,8995.4030000000002,6865.1959999999999,16980.458999999999,1147.896,215329.56,166611.05900000001,6878.1909999999998,32006.129000000001,7299.1679999999997,8373.5429999999997
42,598705.0520000013,30200.517,5999.7790000000005,93993.865000000005,10608.924000000001,12118.849,201282.101,157007.524,16986.921999999999,32408.388999999999,2881.5419999999999,35216.639000000003
