hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
0,739.5869999999999,1.3640000000000001,11.265000000000001,3.7949999999999999,6.9960000000000004,12.747999999999999,52.195999999999998,39.658999999999999,298.38099999999997,30.297999999999998,0.77100000000000002,282.11500000000001
1,104850.58599999998,735.87199999999996,734.54300000000001,16105.571,1970.8630000000001,4081.7919999999999,6368.8620000000001,4957.7380000000003,35357.036999999997,1926.4110000000001,90.259,32521.637999999999
2,103727.96200000007,98.716999999999999,1554.5599999999999,16136.773999999999,2562.6709999999998,7019.0129999999999,3766.375,1697.6079999999999,34877.489999999998,139.422,3864.0520000000001,32011.280999999999
3,99711.5199999999,1815.357,4568.3509999999997,16079.954,2.335,993.28499999999997,982.79700000000003,1811.3499999999999,34706.040999999997,2667.1509999999998,4375.0119999999997,31709.886999999999
4,97289.96500000001,31.844999999999999,1925.752,16001.538,187.39500000000001,1882.047,1065.9970000000001,551.58199999999999,33872.663,4672.5709999999999,6222.0630000000001,30876.510999999999
5,98767.31499999986,3793.8739999999998,1392.549,16351.857,2313.5929999999998,1022.746,1593.8409999999999,4332.0500000000002,34207.565000000002,2019.8810000000001,400.97500000000002,31338.383000000002
6,99174.25999999978,784.57399999999996,1856.8989999999999,16172.916999999999,619.03399999999999,2490.3760000000002,2926.1480000000001,1471.845,34531.862000000001,5032.1440000000002,1653.4549999999999,31635.006000000001
7,99642.48300000001,2309.607,771.35299999999995,16451.080999999998,967.76900000000001,3186.6900000000001,1137.067,3812.9960000000001,34613.275999999998,3069.424,1722.2819999999999,31600.937000000002
8,99276.17699999979,283.92399999999998,745.80999999999995,16419.185000000001,3153.4180000000001,2991.3820000000001,731.601,2555.2310000000002,34336.084000000003,125.998,6314.6869999999999,31618.857
9,223681.37599999981,9688.0640000000003,984.46400000000006,62917.898999999998,5853.2560000000003,1835.5350000000001,42232.021999999997,32801.883999999998,34168.866999999998,1499.325,486.78500000000003,31213.276000000002
10,594084.6299999993,13060.679,12982.683999999999,62262.485000000001,12287.974,25432.126,232441.48300000001,180542.87,4311.1499999999996,18891.383999999998,26670.531999999999,5201.2629999999999
11,549682.041000001,16039.727000000001,18658.948,43819.118000000002,17657.669000000002,686.31899999999996,208606.97500000001,162434.802,25847.824000000001,34465.851999999999,16543.646000000001,4921.1599999999999
12,623752.7909999999,27011.383999999998,5856.0450000000001,31177.495999999999,87113.058999999994,15889.875,223037.89600000001,173215.33199999999,15368.079,2675.4859999999999,19160.616000000002,23247.523000000001
13,596578.537,7915.4260000000004,49408.822999999997,16954.749,6487.2560000000003,30063.639999999999,239603.52499999999,187389.16399999999,6463.9790000000003,3693.5450000000001,17864.493999999999,30733.936000000002
14,548885.7370000003,16910.632000000001,48758.925999999999,34171.425999999999,10763.096,6252.3459999999995,232821.02499999999,181801.984,3896.8800000000001,5157.1440000000002,1058.1099999999999,7294.1679999999997
15,572159.2519999999,8194.1129999999994,26567.462,11028.375,9452.5900000000001,17996.272000000001,229413.96599999999,177872.11199999999,19208.521000000001,35932.362999999998,24615.088,11878.389999999999
16,573125.8919999994,20.933,36963.474000000002,17189.268,560.89599999999996,25529.611000000001,214777.323,166774.30100000001,26348.268,24490.155999999999,21979.687999999998,38491.974999999999
17,578971.6359999994,3438.2840000000001,1002.01,27223.241999999998,7906.5290000000005,22879.659,223076.272,173038.364,49452.633999999998,7875.9690000000001,9447.9930000000004,53630.68
18,580594.9889999989,289.08800000000002,19867.856,22975.076000000001,9792.4249999999993,8457.3709999999992,224807.81899999999,174232.288,31247.521000000001,6348.0029999999997,13255.368,69322.173999999999
19,547112.2849999998,6144.4570000000003,38386.684000000001,28800.52,21907.433000000001,2271.2249999999999,210252.54199999999,163634.573,58519.239999999998,3966.8800000000001,3853.279,9375.4509999999991
20,546746.0009999999,6271.143,6922.0950000000003,36977.599000000002,8277.0519999999997,13614.23,206888.296,161162.95600000001,51180.392999999996,28227.359,2684.9699999999998,24539.906999999999
21,544092.7040000005,2553.462,10529.960999999999,19957.593000000001,11579.549000000001,16615.982,200871.704,156068.95600000001,47715.684000000001,1601.569,66321.763999999996,10276.481
22,567498.6090000004,2991.3470000000002,24494.069,24668.210999999999,10780.129999999999,7356.0069999999996,206553.932,160966.35500000001,37629.603999999999,10647.291999999999,14745.66,66666.001999999993
23,199975.18299999982,14184.731,2933.3800000000001,12301.690000000001,2846.491,6781.1570000000002,19913.118999999999,14331.725,6536.1329999999998,2964.1500000000001,65439.089,51743.517999999996
24,188578.0390000004,12617.029,1484.434,14820.197,1189.4000000000001,8749.0120000000006,2020.0050000000001,6444.0900000000001,38169.171000000002,51938.561999999998,9599.8639999999996,41546.275000000001
25,99071.62599999981,3582.7150000000001,3466.2660000000001,2609.991,3255.5920000000001,20721.343000000001,4620.317,8256.1380000000008,21772.23,14070.058000000001,3174.3420000000001,13542.634
26,98781.43099999981,14025.713,3357.4690000000001,5364.4660000000003,6612.0590000000002,3837.6260000000002,15410.116,11143.357,22745.909,3314.7199999999998,4931.7160000000003,8038.2790000000005
27,99620.38599999977,26358.409,2771.2939999999999,21077.564999999999,9955.6110000000008,2452.9899999999998,10234.259,1727.616,3176.884,9042.5069999999996,7192.5969999999998,5630.6540000000005
28,99801.73499999981,969.42399999999998,10105.309999999999,3890.7660000000001,18978.059000000001,13623.299000000001,7780.8289999999997,13489.061,6595.5150000000003,274.73599999999999,14388.464,9706.2720000000008
