halfhour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-5,2875.8930000000005,5.3559999999999999,261.44600000000003,159.83199999999999,1.6140000000000001,5.2469999999999999,446.54899999999998,446.54899999999998,746.73800000000006,5.3559999999999999,50.468000000000004,746.73800000000006
-4,188747.24300000007,297.27800000000002,4748.6819999999998,9293.5810000000001,12517.627,291.22399999999999,27623.042000000001,27622.814999999999,51529.114999999998,297.27800000000002,2997.8099999999999,51528.790999999997
-3,189424.3280000012,4018.3330000000001,389.13200000000001,13141.67,7159.799,184.43600000000001,28134.966,28134.488000000001,51288.103999999999,4885.9099999999999,800.37800000000004,51287.110999999997
-2,187114.59799999942,774.42899999999997,491.416,6238.759,4569.6329999999998,13602.906000000001,27753.715,27752.808000000001,50672.262000000002,3805.127,782.91600000000005,50670.629000000001
-1,188875.3449999995,566.84500000000003,2211.0189999999998,2468.018,3480.4769999999999,1464.9659999999999,28042.375,28041.204000000002,51115.849000000002,2412.3130000000001,17958.723999999998,51113.555999999997
0,190080.07999999993,627.65499999999997,10811.639999999999,7275.0020000000004,1042.6400000000001,790.55499999999995,28171.395,28169.865000000002,51559.701999999997,6115.3919999999998,3959.578,51556.656000000003
1,186626.86299999995,1212.921,3489.2550000000001,11651.279,494.35300000000001,663.63800000000003,27438.668000000001,27436.921999999999,50820.311999999998,11468.377,1134.528,50816.610000000001
2,179798.30599999952,2465.3820000000001,1186.373,13183.835999999999,4381.5770000000002,4502.6869999999999,26769.737000000001,26767.775000000001,48586.205999999998,1998.338,1374.423,48581.972000000002
3,189427.2720000001,764.25699999999995,9347.4130000000005,10974.647999999999,2127.5680000000002,803.60500000000002,27536.473999999998,27534.276000000002,51895.004000000001,3137.848,3416.3780000000002,51889.802000000003
4,192889.34500000038,4380.0929999999998,6672.9059999999999,2677.2049999999999,2358.7930000000001,1496.4649999999999,27729.037,27726.531999999999,53273.273000000001,11960.049999999999,1347.769,53267.222000000002
5,192681.56600000075,5387.5839999999998,6863.1940000000004,7486.0870000000004,5680.7669999999998,206.16499999999999,27602.485000000001,27599.737000000001,53343.084999999999,1832.914,3343.1669999999999,53336.381000000001
6,190298.6240000005,5738.7830000000004,3534.0360000000001,5445.6310000000003,2413.6599999999999,187.94499999999999,28050.235000000001,28047.310000000001,51792.800999999999,1426.7719999999999,11875.823,51785.627999999997
7,189552.67300000065,1132.7739999999999,4385.2219999999998,2574.8150000000001,5921.4179999999997,12119.097,27668.445,27665.249,51863.065000000002,3915.6689999999999,451.685,51855.233
8,190623.26800000062,2345.556,9388.7530000000006,10160.587,1329.8320000000001,1236.027,28084.367999999999,28080.915000000001,51871.067000000003,336.95800000000003,5926.625,51862.580000000002
9,189350.3060000001,2748.6599999999999,3038.808,7825.8779999999997,7374.7560000000003,3718.0680000000002,27893.891,27890.292000000001,51504.428,3332.422,2527.817,51495.286
10,190746.19199999986,1196.636,2669.6419999999998,5317.2910000000002,2909.761,4389.4970000000003,28054.694,28050.695,51948.205000000002,2053.7689999999998,12217.681,51938.321000000004
11,190098.1450000001,2735.9810000000002,9260.9979999999996,1596.2670000000001,675.61000000000001,12445.615,28087.623,28083.445,51643.870999999999,209.578,3725.7339999999999,51633.421999999999
12,193376.8130000003,1098.4849999999999,2149.6489999999999,7962.598,14909.545,2455.7150000000001,27992.904999999999,27988.545999999998,53211.235000000001,1295.6569999999999,1112.701,53199.777999999998
13,193744.1480000001,308.29199999999997,315.74099999999999,4366.107,5377.1409999999996,11672.781000000001,28124.695,28119.287,53219.362999999998,4743.0919999999996,4290.473,53207.175000000003
14,190206.83399999994,822.72199999999998,1739.635,16316.991,350.39999999999998,5044.8469999999998,28200.602999999999,28185.599999999999,51542.690000000002,1997.1289999999999,4476.0200000000004,51530.196000000004
15,192905.8989999999,661.07799999999997,7357.7309999999998,5167.8959999999997,906.27599999999995,8669.116,28098.281999999999,28070.438999999998,52861.114999999998,390.44999999999999,7875.9009999999998,52847.614999999998
16,189184.51199999996,616.10000000000002,5003.0820000000003,2467.9259999999999,9774.5490000000009,1262.8530000000001,28438.991000000002,28399.081999999999,50809.311999999998,3381.201,8235.7459999999992,50795.669999999998
17,189801.27900000045,4008.5050000000001,1912.3420000000001,5309.9539999999997,4038.8969999999999,5402.674,28006.928,27956.835999999999,51564.591,8909.6129999999994,1140.873,51550.063999999998
18,195046.81900000063,5838.5699999999997,17450.007000000001,2228.9839999999999,155.83799999999999,1372.6800000000001,28317.248,28254.739000000001,53632.411,2488.1759999999999,1691.4849999999999,53616.682000000001
19,194615.10500000004,4151.71,6378.3410000000003,2288.0700000000002,6166.9830000000002,2563.5549999999998,28113.128000000001,28039.087,53649.838000000003,8752.0229999999992,880.05200000000002,53632.317999999999
20,187884.9480000003,953.12900000000002,3863.2150000000001,3528.299,1009.758,1487.5039999999999,27811.544999999998,27726.432000000001,51035.125,15353.432000000001,4098.7139999999999,51017.794999999998
21,190723.8040000001,9916.1419999999998,1663.9000000000001,1747.6990000000001,461.62200000000001,2737.982,28127.924999999999,28029.327000000001,51917.644,9567.9169999999995,4654.277,51899.370000000003
22,186619.01300000123,8165.1469999999999,3824.9459999999999,5831.1769999999997,4097.8180000000002,3946.6959999999999,27571.419000000002,27461.865000000002,50738.438999999998,684.89800000000002,3576.623,50719.983
23,190171.98399999985,17306.537,642.21500000000003,1483.319,323.64400000000001,2240.3270000000002,27592.017,27470.865000000002,52308.364999999998,4295.1279999999997,4220.9120000000003,52288.654999999999
24,190329.90799999947,1703.4090000000001,11223.25,4106.7619999999997,3554.6570000000002,9266.9189999999999,27808.296999999999,27674.514999999999,52065.868000000002,105.53700000000001,775.06600000000003,52045.629999999997
25,192666.85399999985,1451.2809999999999,1447.2280000000001,3456.0279999999998,8740.4750000000004,5317.4610000000002,28581.476999999999,28431.616999999998,52323.826000000001,4271.1670000000004,6343.4470000000001,52302.845999999998
26,195669.1220000003,61.024999999999999,4079.116,8732.2039999999997,293.411,2302.3139999999999,28472.554,28311.260999999999,53768.959999999999,12100.719999999999,3800.846,53746.711000000003
27,195541.49500000032,914.423,11885.696,2216.7080000000001,4235.9399999999996,3089.5340000000001,28819.877,28644.862000000001,53338.014999999999,8130.2629999999999,950.88300000000004,53315.294999999998
28,191635.80700000018,3386.3519999999999,1466.452,3904.1880000000001,3689.0799999999999,5641.5129999999999,28970.636999999999,28783.379000000001,51406.964,3481.1460000000002,9521.7000000000007,51384.394999999997
29,193255.4680000004,14131.708000000001,1411.095,5017.2030000000004,357.94600000000003,2660.3130000000001,29189.534,28988.610000000001,51915.220999999998,5646.1509999999998,2045.8599999999999,51891.826000000001
30,192876.1680000007,2286.2370000000001,6565.8810000000003,3462.1979999999999,3826.6170000000002,6569.3720000000003,29014.417000000001,28802.471000000001,51923.116999999998,552.70699999999999,7974.0720000000001,51899.080000000002
31,191739.14700000046,6145.6350000000002,5952.9939999999997,2579.154,4649.8959999999997,290.59199999999998,28739.293000000001,28517.627,51743.248,9302.4699999999993,2099.5500000000002,51718.688999999998
