halfhour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-5,2875.8930000000005,5.3559999999999999,261.44600000000003,159.83199999999999,1.6140000000000001,5.2469999999999999,446.54899999999998,446.54899999999998,746.73800000000006,5.3559999999999999,50.468000000000004,746.73800000000006
-4,188747.24300000007,297.27800000000002,2597.6350000000002,9293.5810000000001,14668.674000000001,291.22399999999999,27623.042000000001,27622.814999999999,51529.114999999998,297.27800000000002,2997.8099999999999,51528.790999999997
-3,189424.3280000012,1550.0999999999999,2127.5770000000002,12572.190000000001,1393.212,4069.1640000000002,28134.966,28134.488000000001,51288.103999999999,4877.6859999999997,3989.7310000000002,51287.110999999997
-2,187114.59799999942,2521.54,3036.681,15037.09,633.78800000000001,5061.0150000000003,27753.715,27752.808000000001,50672.262000000002,497.44999999999999,3477.6199999999999,50670.629000000001
-1,188875.3449999995,431.97800000000001,5193.7250000000004,15772.499,2568.1329999999998,553.17700000000002,28042.375,28041.204000000002,51115.849000000002,1925.027,4117.8220000000001,51113.555999999997
0,190080.07999999993,1045.1389999999999,1211.704,13511.208000000001,1047.527,8567.2399999999998,28171.395,28169.865000000002,51559.701999999997,721.21799999999996,4518.4269999999997,51556.656000000003
1,186626.86299999995,6244.1679999999997,1870.4670000000001,12810.203,1547.1949999999999,2910.491,27438.668000000001,27436.921999999999,50820.311999999998,683.13599999999997,4048.692,50816.610000000001
2,179798.30599999952,524.11000000000001,2160.6129999999998,12461.205,744.33600000000001,3479.29,26769.737000000001,26767.775000000001,48586.205999999998,892.25999999999999,8830.8019999999997,48581.972000000002
3,189427.2720000001,4538.5370000000003,607.48800000000006,12142.209999999999,7243.3029999999999,875.61599999999999,27536.473999999998,27534.276000000002,51895.004000000001,402.68799999999999,4761.8739999999998,51889.802000000003
4,192889.34500000038,823.35299999999995,72.554000000000002,12564.07,9219.4660000000003,2416.087,27729.037,27726.531999999999,53273.273000000001,2327.7220000000002,3470.029,53267.222000000002
5,192681.56600000075,457.88200000000001,771.35599999999999,16937.400000000001,1183.8119999999999,341.43200000000002,27602.485000000001,27599.737000000001,53343.084999999999,3462.2890000000002,7645.7079999999996,53336.381000000001
6,190298.6240000005,501.05799999999999,6468.1599999999999,9461.2180000000008,5981.0110000000004,2096.1889999999999,28050.235000000001,28047.310000000001,51792.800999999999,2944.1729999999998,3170.8420000000001,51785.627999999997
7,189552.67300000065,1089.95,2155.607,18367.603999999999,1155.9739999999999,1367.758,27668.445,27665.249,51863.065000000002,2025.9369999999999,4337.8509999999997,51855.233
8,190623.26800000062,1781.9860000000001,1790.0129999999999,13180.602000000001,460.983,5898.3339999999998,28084.367999999999,28080.915000000001,51871.067000000003,3845.386,3767.0349999999999,51862.580000000002
9,189350.3060000001,993.36199999999997,778.42899999999997,21475.704000000002,1431.7180000000001,963.27700000000004,27893.891,27890.292000000001,51504.428,1430.395,3493.5230000000001,51495.286
10,190746.19199999986,648.97699999999998,185.71700000000001,15482.433000000001,4176.4369999999999,1441.7670000000001,28054.694,28050.695,51948.205000000002,2653.2890000000002,6165.6570000000002,51938.321000000004
11,190098.1450000001,2103.1060000000002,2423.5500000000002,14676.633,3100.107,884.37,28087.623,28083.445,51643.870999999999,2030.675,5431.3440000000001,51633.421999999999
12,193376.8130000003,769.22500000000002,1768.827,9896.8080000000009,4784.7740000000003,8870.9750000000004,27992.904999999999,27988.545999999998,53211.235000000001,558.77700000000004,4334.9629999999997,53199.777999999998
13,193744.1480000001,1423.2139999999999,3576.3009999999999,12006.932000000001,3871.3020000000001,414.02300000000002,28124.695,28119.287,53219.362999999998,5230.6869999999999,4551.1689999999999,53207.175000000003
14,190206.83399999994,1803.2349999999999,1517.4490000000001,11734.194,335.024,8415.2060000000001,28200.602999999999,28185.599999999999,51542.690000000002,501.55399999999997,6441.0839999999998,51530.196000000004
15,192905.8989999999,2960.4430000000002,549.47900000000004,16510.133000000002,988.51900000000001,2070.723,28098.281999999999,28070.438999999998,52861.114999999998,2631.7379999999998,5317.4139999999998,52847.614999999998
16,189184.51199999996,1213.2829999999999,511.84399999999999,13657.574000000001,6505.7430000000004,2040.502,28438.991000000002,28399.081999999999,50809.311999999998,695.48699999999997,6117.0219999999999,50795.669999999998
17,189801.27900000045,2027.9159999999999,2881.2429999999999,10069.347,1771.154,4902.3699999999999,28006.928,27956.835999999999,51564.591,4965.9359999999997,4104.8940000000002,51550.063999999998
18,195046.81900000063,6005.1999999999998,221.37700000000001,13251.705,1952.731,5138.4920000000002,28317.248,28254.739000000001,53632.411,635.55100000000004,4020.683,53616.682000000001
19,194615.10500000004,1185.5340000000001,1042.059,13733.415999999999,2519.1060000000002,1488.04,28113.128000000001,28039.087,53649.838000000003,4016.6709999999998,7195.9070000000002,53632.317999999999
20,187884.9480000003,461.31799999999998,3469.2919999999999,13846.811,808.47299999999996,5584.4009999999998,27811.544999999998,27726.432000000001,51035.125,1494.9770000000001,4628.777,51017.794999999998
21,190723.8040000001,2810.114,3462.1889999999999,12518.822,651.61599999999999,3067.326,28127.924999999999,28029.327000000001,51917.644,1317.558,6921.9129999999996,51899.370000000003
22,186619.01300000123,5190.8109999999997,676.45299999999997,15673.734,1956.24,1282.058,27571.419000000002,27461.865000000002,50738.438999999998,896.69200000000001,4451.3180000000002,50719.983
23,190171.98399999985,1774.3530000000001,292.14600000000002,16713.862000000001,3221.6419999999998,1649.9690000000001,27592.017,27470.865000000002,52308.364999999998,2599.8200000000002,4260.2920000000004,52288.654999999999
24,190329.90799999947,2053.279,8309.598,10950.909,2374.3809999999999,1212.481,27808.296999999999,27674.514999999999,52065.868000000002,1478.221,4356.7290000000003,52045.629999999997
25,192666.85399999985,3021.8890000000001,131.90299999999999,12985.589,1526.827,4726.5950000000003,28581.476999999999,28431.616999999998,52323.826000000001,1689.556,6944.7290000000003,52302.845999999998
26,195669.1220000003,1042.453,3161.096,17531.830000000002,417.40800000000002,459.04000000000002,28472.554,28311.260999999999,53768.959999999999,1975.569,6782.2399999999998,53746.711000000003
27,195541.49500000032,2695.0709999999999,1119.5930000000001,16109.699000000001,4812.585,996.50199999999995,28819.877,28644.862000000001,53338.014999999999,1090.615,4599.3819999999996,53315.294999999998
28,191635.80700000018,1934.944,704.79600000000005,15091.42,2501.71,2845.6750000000002,28970.636999999999,28783.379000000001,51406.964,1149.4939999999999,6862.393,51384.394999999997
29,193255.4680000004,2848.8980000000001,267.83199999999999,15233.679,1622.992,718.71699999999998,29189.534,28988.610000000001,51915.220999999998,6319.5609999999997,4258.598,51891.826000000001
30,192876.1680000007,10162.058000000001,772.17600000000004,13338.182000000001,1277.758,819.56600000000003,29014.417000000001,28802.471000000001,51923.116999999998,857.78700000000003,4009.556,51899.080000000002
31,191739.14700000046,4074.5529999999999,2116.8699999999999,10471.360000000001,1155.9179999999999,5151.5559999999996,28739.293000000001,28517.627,51743.248,2951.3820000000001,5098.6509999999998,51718.688999999998
32,185723.63000000027,1196.2529999999999,893.62800000000004,7198.0510000000004,2790.4090000000001,3076.1370000000002,26013.029999999999,25802.044000000002,52188.019,250.904,14152.555,52162.601000000002
33,186561.25700000007,1530.3150000000001,3298.5369999999998,10676.138999999999,5896.9790000000003,715.73800000000006,27158.784,26927.592000000001,51256.434999999998,2274.5619999999999,5595.2629999999999,51230.913999999997
