halfhour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-5,2875.8930000000005,5.3559999999999999,261.44600000000003,159.83199999999999,1.6140000000000001,5.2469999999999999,446.54899999999998,446.54899999999998,746.73800000000006,5.3559999999999999,50.468000000000004,746.73800000000006
-4,188747.24300000007,297.27800000000002,3781.723,9293.5810000000001,13484.585999999999,291.22399999999999,27623.042000000001,27622.814999999999,51529.114999999998,297.27800000000002,2997.8099999999999,51528.790999999997
-3,189424.3280000012,235.65799999999999,11814.349,6254.0780000000004,7162.4750000000004,2261.9960000000001,28134.966,28134.488000000001,51288.103999999999,2620.7860000000001,230.31700000000001,51287.110999999997
-2,187114.59799999942,14507.754999999999,6387.7520000000004,1657.172,1804.7550000000001,2833.6309999999999,27753.715,27752.808000000001,50672.262000000002,1294.912,1779.2070000000001,50670.629000000001
-1,188875.3449999995,3886.3989999999999,7896.085,6689.2439999999997,27.295000000000002,2260.931,28042.375,28041.204000000002,51115.849000000002,1514.5129999999999,8287.8940000000002,51113.555999999997
0,190080.07999999993,308.10599999999999,866.84400000000005,14742.641,3266.788,6359.2780000000002,28171.395,28169.865000000002,51559.701999999997,785.61500000000001,4293.1899999999996,51556.656000000003
1,186626.86299999995,2774.7890000000002,5060.1419999999998,6641.9780000000001,4693.1149999999998,1946.018,27438.668000000001,27436.921999999999,50820.311999999998,8463.0310000000009,535.27800000000002,50816.610000000001
2,179798.30599999952,9644.759,3911.413,5707.7070000000003,1157.7909999999999,2607.2510000000002,26769.737000000001,26767.775000000001,48586.205999999998,446.27100000000002,5617.424,48581.972000000002
3,189427.2720000001,4174.1859999999997,1904.8150000000001,14272.712,2321.7049999999999,3032.1390000000001,27536.473999999998,27534.276000000002,51895.004000000001,52.600000000000001,4813.5600000000004,51889.802000000003
4,192889.34500000038,10906.215,2240.1709999999998,2428.3850000000002,1495.6400000000001,8034.9930000000004,27729.037,27726.531999999999,53273.273000000001,1332.0909999999999,4455.7870000000003,53267.222000000002
5,192681.56600000075,10132.575999999999,3874.8180000000002,4800.7700000000004,75.406000000000006,5611.2610000000004,27602.485000000001,27599.737000000001,53343.084999999999,1132.8430000000001,5172.2030000000004,53336.381000000001
6,190298.6240000005,8668.9480000000003,3449.337,3184.9340000000002,841.255,7177.4319999999998,28050.235000000001,28047.310000000001,51792.800999999999,6199.2030000000004,1101.5409999999999,51785.627999999997
7,189552.67300000065,5944.4380000000001,55.561999999999998,1329.0419999999999,10581.861999999999,909.85900000000004,27668.445,27665.249,51863.065000000002,7705.1760000000004,3974.741,51855.233
8,190623.26800000062,4486.1790000000001,5342.0389999999998,1628.0,7520.8869999999997,9368.2970000000005,28084.367999999999,28080.915000000001,51871.067000000003,1768.355,610.58100000000002,51862.580000000002
9,189350.3060000001,1664.1849999999999,1451.682,6949.1989999999996,5526.4350000000004,5177.0619999999999,27893.891,27890.292000000001,51504.428,2073.058,7724.7889999999998,51495.286
10,190746.19199999986,4097.5320000000002,911.60799999999995,3627.5039999999999,11448.886,3460.6060000000002,28054.694,28050.695,51948.205000000002,955.601,6252.5410000000002,51938.321000000004
11,190098.1450000001,86.688000000000002,716.90700000000004,1095.623,6377.8339999999998,9710.3299999999999,28087.623,28083.445,51643.870999999999,12567.742,94.661000000000001,51633.421999999999
12,193376.8130000003,1597.9459999999999,9517.4590000000007,653.03499999999997,3393.8290000000002,6222.857,27992.904999999999,27988.545999999998,53211.235000000001,3595.7089999999998,6003.5140000000001,53199.777999999998
13,193744.1480000001,3015.1030000000001,0.055,4344.5699999999997,5390.8519999999999,1456.566,28124.695,28119.287,53219.362999999998,4760.2420000000002,12106.241,53207.175000000003
14,190206.83399999994,167.17699999999999,6816.0559999999996,8639.9060000000009,2082.4839999999999,1208.0940000000001,28200.602999999999,28185.599999999999,51542.690000000002,7111.0150000000003,4723.0140000000001,51530.196000000004
15,192905.8989999999,9107.0210000000006,744.41999999999996,5411.2479999999996,273.471,821.21199999999999,28098.281999999999,28070.438999999998,52861.114999999998,8975.3760000000002,5695.6999999999998,52847.614999999998
16,189184.51199999996,2792.027,7239.6850000000004,4657.9589999999998,3470.962,8436.9429999999993,28438.991000000002,28399.081999999999,50809.311999999998,1373.683,2770.1979999999999,50795.669999999998
17,189801.27900000045,4690.4250000000002,9773.9189999999999,1576.2760000000001,9183.732,1709.942,28006.928,27956.835999999999,51564.591,1216.2460000000001,2572.3209999999999,51550.063999999998
18,195046.81900000063,942.11199999999997,2724.8069999999998,6511.491,9022.3999999999996,39.372,28317.248,28254.739000000001,53632.411,7465.5990000000002,4519.9579999999996,53616.682000000001
19,194615.10500000004,5618.6260000000002,11461.662,880.06899999999996,1141.174,6601.8149999999996,28113.128000000001,28039.087,53649.838000000003,4794.5349999999999,682.85400000000004,53632.317999999999
20,187884.9480000003,3309.4609999999998,760.298,16959.377,5422.7269999999999,1987.038,27811.544999999998,27726.432000000001,51035.125,807.07399999999996,1048.076,51017.794999999998
21,190723.8040000001,7086.5780000000004,9.5649999999999995,3063.9850000000001,1533.7529999999999,6884.3059999999996,28127.924999999999,28029.327000000001,51917.644,4453.9179999999997,7717.4319999999998,51899.370000000003
22,186619.01300000123,10378.763999999999,292.40100000000001,1389.335,115.58799999999999,356.65300000000002,27571.419000000002,27461.865000000002,50738.438999999998,14516.281999999999,3078.2840000000001,50719.983
23,190171.98399999985,8452.9240000000009,4790.7839999999997,996.21400000000006,3575.018,7697.2470000000003,27592.017,27470.865000000002,52308.364999999998,2639.4520000000002,2360.444,52288.654999999999
24,190329.90799999947,6931.7719999999999,5481.1019999999999,557.69000000000005,12556.24,1560.71,27808.296999999999,27674.514999999999,52065.868000000002,309.02699999999999,3339.058,52045.629999999997
25,192666.85399999985,3193.5999999999999,283.834,1057.2070000000001,16318.605,1959.8430000000001,28581.476999999999,28431.616999999998,52323.826000000001,3244.3429999999998,4969.6549999999997,52302.845999999998
26,195669.1220000003,2632.9960000000001,2452.0250000000001,4609.9719999999998,5263.4660000000003,13764.373,28472.554,28311.260999999999,53768.959999999999,668.197,1978.607,53746.711000000003
