halfhour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-5,2875.8930000000005,5.892,0.0,175.81500000000003,1.775,5.771999999999999,491.2040000000001,491.2040000000001,821.4120000000001,5.892,55.515,821.4120000000001
-4,188747.24300000007,327.00600000000185,0.0,10222.939000000151,118.21500000000036,320.3459999999982,30385.345999999772,30385.09699999972,56682.027000000206,327.00600000000185,3297.591000000017,56681.67000000026
-3,189424.3280000012,327.00600000000185,0.0,10297.625999999958,118.21500000000036,320.3459999999982,30948.46299999998,30947.936999999874,56416.91399999976,327.00600000000185,3304.993000000017,56415.821999999476
-2,187114.59799999942,326.0240000000018,0.0,10184.641000000178,118.21500000000036,320.3459999999982,30529.086000000276,30528.089000000084,55739.48800000002,326.0240000000018,3304.993000000017,55737.69200000023
-1,188875.3449999995,327.00600000000185,0.0,10329.79599999992,118.21500000000036,320.3459999999982,30846.612000000474,30845.324000000324,56227.43400000005,327.00600000000185,3308.6940000000172,56224.911999999626
0,190080.07999999993,327.00600000000185,0.0,10275.433000000048,118.21500000000036,320.3459999999982,30988.53400000032,30986.85200000045,56715.67199999993,327.00600000000185,3308.6940000000172,56712.32200000009
1,186626.86299999995,322.0960000000017,0.0,10138.770999999913,116.08500000000033,314.57399999999825,30182.53500000039,30180.614000000154,55902.34300000033,322.0960000000017,3249.478000000017,55898.270999999855
2,179798.30599999952,309.33000000000135,0.0,9861.186999999882,111.82500000000029,303.0299999999984,29446.711000000578,29444.55200000031,53444.82699999977,309.33000000000135,3127.345000000016,53440.16900000005
3,189427.2720000001,327.00600000000185,0.0,10288.595000000047,118.21500000000036,320.3459999999982,30290.120999999355,30287.704000000394,57084.503999999986,327.00600000000185,3304.993000000017,57078.78200000005
4,192889.34500000038,327.00600000000185,0.0,10292.407999999858,118.21500000000036,320.3459999999982,30501.94099999957,30499.185000000547,58600.5999999999,327.00600000000185,3308.6940000000172,58593.944000000265
5,192681.56600000075,327.00600000000185,0.0,10214.143000000062,118.21500000000036,320.3459999999982,30362.733999999677,30359.71100000069,58677.39300000013,327.00600000000185,3304.993000000017,58670.01900000006
6,190298.6240000005,327.00600000000185,0.0,10253.784999999967,118.21500000000036,320.3459999999982,30855.258999999507,30852.040999999386,56972.081000000166,327.00600000000185,3308.6940000000172,56964.191000000144
7,189552.67300000065,327.00600000000185,0.0,10199.23300000016,117.86000000000035,319.3839999999982,30435.28999999965,30431.77399999955,57049.370999999905,327.00600000000185,3304.993000000017,57040.75600000023
8,190623.26800000062,327.00600000000185,0.0,10333.178000000005,118.21500000000036,320.3459999999982,30892.804999999753,30889.00599999961,57058.17400000039,327.00600000000185,3308.6940000000172,57048.83800000012
9,189350.3060000001,327.00600000000185,0.0,10290.453000000058,118.21500000000036,320.3459999999982,30683.279999999966,30679.320999999767,56654.87099999942,327.00600000000185,3304.993000000017,56644.81500000021
