hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-3,2875.8930000000005,5.892,0.0,175.81500000000003,1.775,5.771999999999999,491.2040000000001,491.2040000000001,821.4120000000001,5.892,55.515,821.4120000000001
-2,378171.571,654.0120000000029,0.0,20520.56499999998,236.42999999999734,640.6919999999946,61333.808999999594,61333.03400000135,113098.94100000105,654.0120000000029,6602.584000000036,113097.49200000039
-1,375989.942999997,653.0300000000029,0.0,20514.437000000526,236.42999999999734,640.6919999999946,61375.697999999575,61373.41299999924,111966.92199999954,653.0300000000029,6613.687000000036,111962.6039999995
0,376706.9430000031,649.102000000003,0.0,20414.203999999747,234.2999999999974,634.9199999999946,61171.06899999913,61167.46599999892,112618.01499999994,649.102000000003,6558.172000000036,112610.59299999963
1,369225.5780000012,636.3360000000034,0.0,20149.781999999203,230.03999999999752,623.3759999999947,59736.832000001414,59732.255999998844,110529.33099999977,636.3360000000034,6432.338000000035,110518.95099999885
2,385570.91099999996,654.0120000000029,0.0,20506.550999999785,236.42999999999734,640.6919999999946,60864.675000000134,60858.89599999916,117277.99300000074,654.0120000000029,6613.687000000036,117263.96299999979
3,379851.29700000095,654.0120000000029,0.0,20453.017999999447,236.07499999999735,639.7299999999946,61290.548999999606,61283.81499999841,114021.45200000079,654.0120000000029,6613.687000000036,114004.94699999943
4,379973.5739999993,654.0120000000029,0.0,20623.631000000314,236.42999999999734,640.6919999999946,61576.08500000199,61568.32699999936,113713.04500000112,654.0120000000029,6613.687000000036,113693.65300000035
5,380844.33700000047,654.0120000000029,0.0,20664.902999999827,236.42999999999734,640.6919999999946,61756.547999999304,61747.55399999999,113951.28299999949,654.0120000000029,6609.986000000036,113928.91699999975
6,387120.96099999844,654.0120000000029,0.0,20752.84599999961,236.42999999999734,640.6919999999946,61729.35900000108,61718.61699999987,117073.65799999954,654.0120000000029,6613.687000000036,117047.648
7,383112.73300000123,653.0300000000029,0.0,20846.02499999977,236.07499999999735,640.6919999999946,61928.77299999989,61881.64300000007,114844.18499999934,653.0300000000029,6613.687000000036,114815.59299999941
8,378985.7909999988,654.0120000000029,0.0,20913.337000000123,236.42999999999734,640.6919999999946,62090.51100000001,61991.50999999974,112611.2929999998,654.0120000000029,6613.687000000036,112580.30699999954
9,389661.92399999907,654.0120000000029,0.0,20885.795000000307,236.42999999999734,640.6919999999946,62073.4140000001,61923.20899999995,118010.47399999882,654.0120000000029,6609.986000000036,117973.89999999852
10,378608.7520000012,654.0120000000029,0.0,20484.892999999945,236.07499999999735,640.6919999999946,61533.41800000003,61331.334999999985,113248.04599999974,654.0120000000029,6617.388000000036,113208.88099999946
11,376790.99700000096,654.0120000000029,0.0,20225.34399999942,236.42999999999734,640.6919999999946,60679.77999999995,60426.003000000084,113351.4840000002,654.0120000000029,6613.739000000047,113309.5009999995
12,382996.76199999865,654.0120000000029,0.0,20834.9399999996,236.42999999999734,640.6919999999946,62028.752000000095,61716.746000000094,114828.66400000117,654.0120000000029,6619.190000000081,114783.3239999997
13,391210.6169999998,654.0120000000029,0.0,21138.215000000102,236.42999999999734,640.6919999999946,63021.67399999991,62651.73500000001,117817.67200000063,654.0120000000029,6627.969000000071,117768.20599999801
14,384891.27499999886,653.0300000000029,0.0,21292.46400000019,236.07499999999735,639.7299999999946,63976.18800000004,63549.18799999994,113654.40300000084,653.0300000000029,6633.323000000292,113603.84399999927
15,384615.3149999997,654.0120000000029,0.0,21203.08800000005,236.42999999999734,640.6919999999946,63529.08100000001,63052.10800000001,114033.00199999943,654.0120000000029,6633.344000000292,113979.5459999998
16,372284.8869999998,654.0120000000029,0.0,19460.461999999796,236.42999999999734,640.6919999999946,58488.99499999992,58002.59900000012,113788.89899999983,654.0120000000029,6625.920000000291,113732.86599999946
17,387299.1130000001,653.0300000000029,0.0,20938.13499999958,236.07499999999735,640.6919999999946,63273.52399999991,62698.505000000056,115818.14799999993,653.0300000000029,6629.632000000292,115758.34199999885
18,389877.83499999926,654.0120000000029,0.0,20416.829999999918,236.42999999999734,640.6919999999946,61911.31399999995,61302.89300000002,118743.51699999957,654.0120000000029,6638.918999999984,118679.21599999949
19,384856.33600000036,645.1740000000032,0.0,21143.05000000013,232.87999999999744,633.8589999999972,64004.424000000035,63328.91100000021,113818.35299999962,645.1740000000032,6650.600999999986,113753.90999999992
20,382240.78300000005,654.0120000000029,0.0,20716.81100000021,236.07499999999735,670.1940000000025,63285.40000000062,62590.37500000188,113436.72899999982,654.0120000000029,6627.53300000005,113369.64199999976
21,386764.17699999985,654.0120000000029,0.0,21442.973999999667,236.42999999999734,671.3280000000024,63881.57899999922,63178.79600000254,114730.62500000048,654.0120000000029,6655.956000000205,114658.46499999973
22,384251.0710000005,653.0300000000029,0.0,21626.191000000428,236.42999999999734,671.3280000000024,65030.27600000157,64313.94199999726,112288.28200000004,653.0300000000029,6564.273999999736,112214.28799999914
23,391283.742000001,654.0120000000029,0.0,21692.5259999999,236.42999999999734,670.3200000000023,64370.738000001365,63660.56199999823,116392.45300000033,654.0120000000029,6639.805999999874,116312.88299999973
24,392221.2300000016,654.0120000000029,0.0,21796.51600000082,236.07499999999735,671.3280000000024,64892.084999999846,64175.24499999903,116287.63200000078,654.0120000000029,6648.967999999849,116205.35699999958
25,388183.62500000105,654.0120000000029,0.0,21739.573000000037,236.42999999999734,671.3280000000024,64933.62899999915,64215.39199999953,114250.49199999942,654.0120000000029,6661.888000000093,114166.86899999993
26,387854.2780000012,654.0120000000029,0.0,21657.702000000405,236.42999999999734,671.3280000000024,64569.242000000166,63853.950999999244,114491.14999999927,654.0120000000029,6661.9360000000925,114404.5149999996
27,395363.63499999826,654.0120000000029,0.0,21861.16099999981,236.07499999999735,671.3280000000024,65016.857000000295,64295.69899999967,117701.48599999983,654.0120000000029,6663.492000000093,117609.5129999991
28,387006.08800000144,653.0300000000029,0.0,21916.006999999012,236.64999999999753,671.3280000000024,65058.47499999956,64335.88400000055,113452.79299999983,653.0300000000029,6667.4520000001,113361.4389999996
29,391341.7830000001,653.0300000000029,0.0,21900.18500000032,237.09599999999756,671.3280000000024,65063.35600000083,64339.58800000119,115627.44700000061,653.0300000000029,6665.123999999722,115531.59899999888
30,393423.5120000008,654.0120000000029,0.0,21894.738000000118,237.09599999999756,671.3280000000024,64624.91599999775,63905.082999997554,117112.09900000018,654.0120000000029,6658.049999999718,117012.17799999953
31,379204.82999999827,636.3360000000034,0.0,21877.130999999714,230.33199999999766,653.1840000000017,64038.65700000015,63324.416999998015,110713.27500000059,636.3360000000034,6479.009999999739,110616.15199999923
32,391688.4659999974,654.0120000000029,0.0,22047.18099999955,237.09599999999756,669.3120000000023,65003.696999999964,64277.57099999834,115792.25099999987,654.0120000000029,6665.509999999717,115687.82399999983
33,394780.01999999944,654.0120000000029,0.0,22177.736999999826,237.09599999999756,671.3280000000024,65211.40200000032,64478.10299999997,117071.43800000063,654.0120000000029,6661.779999999718,116963.11199999954
34,391142.3180000004,654.0120000000029,0.0,22133.353999999454,236.73999999999756,671.3280000000024,65271.66100000002,64493.862999999845,115237.46900000065,654.0120000000029,6661.779999999718,115128.09899999909
35,392534.55999999895,654.0120000000029,0.0,22099.540999999994,237.09599999999756,671.3280000000024,65509.88899999999,64679.288999999924,115756.97299999972,654.0120000000029,6628.209999999722,115644.20999999934
36,395536.58699999977,654.0120000000029,0.0,22095.91599999942,237.09599999999756,671.3280000000024,65417.465999999964,64536.820000000065,117383.35399999964,654.0120000000029,6620.749999999723,117265.83299999926
37,360937.7059999987,653.0300000000029,0.0,18254.366000000096,236.73999999999756,671.3280000000024,54926.20900000005,54146.87499999991,112428.54699999969,653.0300000000029,6654.319999999719,112313.2609999995
38,261454.4200000024,654.0120000000029,0.0,2915.489999999997,237.09599999999756,671.3280000000024,8831.497,8693.00599999999,116134.61,654.0120000000029,6650.589999999719,116012.77899999969
39,398205.38299999957,654.0120000000029,0.0,22036.038000000306,237.09599999999756,671.3280000000024,66280.37900000019,65207.74000000008,117968.53500000056,654.0120000000029,6654.319999999719,117841.92300000005
40,388468.15100000135,654.0120000000029,0.0,21921.615000000034,237.09599999999756,671.3280000000024,66172.21299999984,65053.406,113285.33000000086,654.0120000000029,6658.049999999718,113161.08899999896
41,394039.64700000134,654.0120000000029,0.0,21812.02700000093,236.73999999999756,670.3200000000023,66023.33600000007,64858.94699999991,116297.54800000002,654.0120000000029,6665.509999999717,116167.19499999896
42,394616.77700000076,654.0120000000029,0.0,21867.592999999713,236.73999999999756,684.3630000000003,65759.63199999988,64552.34799999987,116845.10500000042,654.0120000000029,6654.319999999719,116708.65200000042
43,388826.4610000007,654.952000000005,0.0,21402.04999999962,236.73999999999756,740.7299999999998,64971.66,63734.87099999987,114948.79899999943,660.6310000000037,6665.509999999717,114810.51800000074
44,381649.9020000012,669.6290000000004,0.0,20910.8489999999,236.73999999999756,769.2299999999881,62024.84800000002,60803.353000000185,114495.84199999958,718.6100000000007,6665.509999999717,114355.29100000068
45,386404.15000000154,681.1229999999964,0.0,20965.86799999952,237.09599999999756,769.2299999999881,63861.3820000005,62574.322999999065,115016.15200000085,761.1870000000002,6665.509999999717,114872.27900000106
46,381086.65300000104,683.315999999996,0.0,18462.047000000322,237.09599999999756,769.2299999999881,55811.20800000162,54684.26200000088,121579.61800000025,769.7939999999908,6665.509999999717,121424.57200000118
47,391831.1059999992,683.315999999996,0.0,21814.406999999763,237.09599999999756,769.2299999999881,66808.43499999908,65458.57800000153,114386.6400000002,769.8959999999909,6665.509999999717,114237.99800000015
48,384206.4060000009,682.2899999999961,0.0,20874.768000000742,236.73999999999756,768.0749999999881,62839.74200000015,61569.18500000021,114976.83700000058,768.7399999999909,6665.509999999717,114824.51900000045
49,402274.5619999988,683.315999999996,0.0,22384.317000000035,237.09599999999756,769.2299999999881,67589.23799999946,66221.71700000086,118557.1619999997,769.8959999999909,6665.509999999717,118397.08000000093
50,394150.54199999815,683.315999999996,0.0,22465.62800000072,237.09599999999756,769.2299999999881,67555.35699999992,66187.55600000138,114487.18099999927,769.8959999999909,6665.509999999717,114329.77200000161
51,394044.26800000085,683.315999999996,0.0,22431.998999999865,236.73999999999756,769.2299999999881,67560.12100000099,66191.2080000013,114450.01299999948,769.8959999999909,6661.779999999718,114289.96500000008
52,399631.8389999991,682.2899999999961,0.0,21886.100999999493,237.09599999999756,769.2299999999881,66831.66400000009,65476.58999999879,118241.45299999969,768.7399999999909,6665.509999999717,118073.16500000081
53,393445.9959999958,683.315999999996,0.0,22158.772999999852,236.73999999999756,768.0749999999881,66489.05699999769,65140.0139999999,115350.838,769.8959999999909,6665.509999999717,115183.77700000032
