halfhour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-5,750.3159999999999,15.132999999999999,5.1349999999999998,131.78800000000001,0.81799999999999995,15.132999999999999,48.368000000000002,36.683,239.601,9.0890000000000004,22.904,225.66499999999999
-4,49135.22599999997,1451.866,24.082999999999998,7827.0529999999999,71.620999999999995,1990.433,3082.73,2401.4270000000001,16347.058999999999,597.84199999999998,336.572,15004.539000000001
-3,48714.32300000007,79.061000000000007,2477.123,7901.835,1723.3209999999999,447.05099999999999,758.72400000000005,1076.7650000000001,16049.902,1209.2629999999999,2211.0929999999998,14780.186
-2,47832.12000000001,463.67399999999998,1629.2729999999999,7850.3249999999998,1498.982,1669.018,1387.874,1194.3689999999999,15685.071,1327.232,675.44600000000003,14450.857
-1,48515.41500000009,4.2539999999999996,321.30500000000001,7890.0379999999996,3040.194,2998.8240000000001,2138.4110000000001,352.178,16046.887000000001,1012.54,49.064999999999998,14661.718999999999
0,47204.86200000003,92.483000000000004,778.17200000000003,7907.1170000000002,1508.5519999999999,1982.3399999999999,1060.5809999999999,454.75900000000001,16101.618,1837.327,833.00400000000002,14648.909
1,46215.49000000008,891.06799999999998,40.691000000000003,7828.8720000000003,497.32999999999998,3013.933,1072.7180000000001,575.29200000000003,15873.672,134.86799999999999,1716.146,14570.901
2,44488.687,271.185,1336.5799999999999,7675.0940000000001,1776.8320000000001,1165.7170000000001,492.25799999999998,674.46000000000004,15195.617,388.40300000000002,1627.154,13885.387000000001
3,46515.56100000006,2.173,317.88799999999998,7950.0150000000003,2472.241,1433.7560000000001,2296.6680000000001,665.87199999999996,16032.035,224.80600000000001,590.18899999999996,14529.916999999999
4,47337.817000000025,36.798999999999999,914.93799999999999,7990.2060000000001,2487.0419999999999,1210.375,960.63999999999999,589.67899999999997,16319.558999999999,1915.7619999999999,11.734,14901.083000000001
5,47179.999999999956,1137.1379999999999,393.14400000000001,7918.4129999999996,484.86799999999999,162.78999999999999,514.33900000000006,2068.0279999999998,16243.630999999999,2922.9110000000001,412.02999999999997,14922.706
6,46297.71700000008,730.04899999999998,174.19499999999999,7864.9700000000003,390.90800000000002,193.297,426.60199999999998,3025.518,15884.045,1191.1369999999999,1900.546,14516.450999999999
7,46547.66000000002,1049.614,773.39300000000003,7821.3450000000003,2865.2489999999998,56.076999999999998,99.031999999999996,1212.173,16002.546,1137.7929999999999,836.101,14694.335999999999
8,46876.159000000065,818.20100000000002,1408.539,8061.5969999999998,77.629999999999995,370.279,1368.0719999999999,1152.588,16006.393,350.86900000000003,2597.3359999999998,14664.655000000001
9,46474.46100000001,382.94,2903.0329999999999,8018.0379999999996,318.96899999999999,6.8650000000000002,2485.8739999999998,420.37900000000002,15893.538,591.39499999999998,985.12300000000005,14468.306
10,46746.487000000016,1985.9290000000001,873.28300000000002,8108.777,589.029,269.87599999999998,937.66600000000005,259.87200000000001,15884.347,2530.1689999999999,683.85699999999997,14623.681
11,46413.94800000002,173.69300000000001,974.93100000000004,7937.3580000000002,1096.673,1589.7840000000001,2005.8630000000001,165.434,15847.563,136.27099999999999,1936.7360000000001,14549.641
12,69957.71500000003,38.963000000000001,2479.2910000000002,28821.728999999999,3532.7460000000001,883.69299999999998,1359.7729999999999,154.00399999999999,16192.852000000001,120.872,1602.365,14771.427
13,146512.86400000006,4924.2219999999998,3105.3440000000001,32774.775000000001,1879.7249999999999,2957.0889999999999,39049.680999999997,30307.006000000001,16235.877,324.81099999999998,133.035,14821.298000000001
14,292498.2300000002,744.56799999999998,9632.0900000000001,30711.59,1208.3900000000001,12106.852999999999,115041.988,89962.447,3976.9870000000001,3834.0219999999999,20164.179,5115.116
15,288086.73599999945,7210.2860000000001,3543.1889999999999,21440.204000000002,38898.690000000002,355.608,113287.23699999999,87354.622000000003,8137.915,446.44999999999999,4432.6270000000004,2979.9090000000001
16,265868.62999999954,5799.1239999999998,16324.295,13642.403,6303.3599999999997,4313.2749999999996,101380.639,78898.774999999994,2347.7310000000002,14603.741,19836.203000000001,2419.085
17,268222.49099999986,27868.972000000002,581.90200000000004,2540.5500000000002,17691.291000000001,1194.163,103121.969,80408.145999999993,7312.9040000000005,14512.547,1583.069,11406.977999999999
18,283233.8029999997,3910.4780000000001,1088.8699999999999,4807.3860000000004,16994.697,8095.0249999999996,109536.40300000001,85222.159,9700.7880000000005,3279.4670000000001,35531.050000000003,5067.4799999999996
19,326294.2689999993,23930.150000000001,11779.392,9957.8500000000004,23996.433000000001,8733.0210000000006,108685.58100000001,84257.110000000001,17997.446,20196.668000000001,2236.3409999999999,14524.277
20,283726.63799999934,17673.137999999999,2202.817,27699.144,4406.2269999999999,6793.4799999999996,110808.52499999999,86985.191999999995,6313.3540000000003,6156.5870000000004,4803.9440000000004,9884.2299999999996
