halfhour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-5,750.3159999999999,16.852,6.4199999999999999,131.78800000000001,18.457000000000001,0.80200000000000005,48.368000000000002,36.683,239.601,20.062000000000001,5.617,225.66499999999999
-4,49135.22599999997,22.643000000000001,2265.1309999999999,7827.0529999999999,612.72500000000002,82.733000000000004,3082.73,2401.4270000000001,16347.058999999999,521.65099999999995,967.53599999999994,15004.539000000001
-3,48714.32300000007,355.62700000000001,211.89099999999999,7901.835,1386.2619999999999,346.17899999999997,2573.268,2095.4549999999999,16049.902,589.11199999999997,2424.605,14780.186
-2,47832.12000000001,464.029,877.60500000000002,7850.3249999999998,343.93400000000003,1480.914,2607.9659999999999,2184.0369999999998,15685.071,1072.3119999999999,815.07100000000003,14450.857
-1,48515.41500000009,89.191999999999993,242.44,7890.0379999999996,501.96899999999999,269.19799999999998,3485.998,2565.4479999999999,16046.887000000001,1326.5309999999999,1435.9939999999999,14661.718999999999
0,47204.86200000003,82.905000000000001,982.572,7907.1170000000002,265.75599999999997,709.29399999999998,2577.5520000000001,3351.877,16101.618,183.209,394.05200000000002,14648.909
1,46215.49000000008,562.86900000000003,7.226,7828.8720000000003,1900.9960000000001,209.53999999999999,1649.818,2766.2080000000001,15873.672,502.17500000000001,343.21300000000002,14570.901
2,44488.687,877.98500000000001,116.48699999999999,7675.0940000000001,864.95100000000002,62.576000000000001,2147.4360000000001,1666.508,15195.617,515.04600000000005,1481.5999999999999,13885.387000000001
3,46515.56100000006,100.242,4.3579999999999997,7950.0150000000003,866.58799999999997,472.44499999999999,2542.627,2342.8539999999998,16032.035,760.096,914.38199999999995,14529.916999999999
4,47337.817000000025,151.18799999999999,143.667,7990.2060000000001,808.64300000000003,813.86000000000001,2409.174,2334.4349999999999,16319.558999999999,599.48900000000003,866.51300000000003,14901.083000000001
5,47179.999999999956,47.396999999999998,2355.2159999999999,7918.4129999999996,105.711,1281.8119999999999,1599.827,1966.451,16243.630999999999,296.23200000000003,442.60500000000002,14922.706
6,46297.71700000008,918.58799999999997,865.66999999999996,7864.9700000000003,230.83699999999999,1359.7639999999999,2148.3760000000002,1462.7339999999999,15884.045,533.78200000000004,512.5,14516.450999999999
7,46547.66000000002,217.08099999999999,296.166,7821.3450000000003,2144.7069999999999,686.75,2058.1979999999999,1999.498,16002.546,33.893999999999998,593.13900000000001,14694.335999999999
8,46876.159000000065,1145.453,1169.836,8061.5969999999998,28.855,378.79300000000001,1531.845,2532.9009999999998,16006.393,1052.4559999999999,303.375,14664.655000000001
9,46474.46100000001,148.05600000000001,2003.9269999999999,8018.0379999999996,793.22699999999998,170.43700000000001,2215.8580000000002,2126.9470000000001,15893.538,199.70400000000001,436.42200000000003,14468.306
10,46746.487000000016,1368.5029999999999,966.00199999999995,8108.777,144.82300000000001,21.802,2210.701,1786.8820000000001,15884.347,415.91800000000001,1215.05,14623.681
