halfhour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-5,750.3159999999999,0.0,0.0,144.96699999999998,0.0,0.0,53.205,40.351,263.56100000000004,0.0,0.0,248.23199999999997
-4,49135.22599999997,0.0,0.0,8609.757999999996,6.137,0.0,3391.0029999999897,2641.5699999999906,17981.765,0.0,0.0,16504.993
-3,48714.32300000007,0.0,0.0,8692.01800000001,2.518,0.0,3433.4309999999896,2673.2589999999873,17654.892000000007,0.0,0.0,16258.204999999996
-2,47832.12000000001,0.0,0.0,8635.357000000002,6.5969999999999995,0.0,3407.8359999999934,2632.808999999991,17253.578000000034,0.0,0.0,15895.943
-1,48515.41500000009,0.0,0.0,8679.042000000007,6.683000000000001,0.0,3405.8799999999937,2644.342999999993,17651.576000000023,0.0,0.0,16127.89099999999
0,47204.86200000003,0.0,0.0,8697.829000000009,10.615999999999998,0.0,2632.67299999999,2038.1639999999973,17711.780000000002,0.0,0.0,16113.799999999985
1,46215.49000000008,0.0,0.0,8611.759,4.336,0.0,2310.348,1800.0169999999985,17461.03900000001,0.0,0.0,16027.990999999996
2,44488.687,0.0,0.0,8442.603000000006,9.306999999999999,0.0,2282.093999999998,1765.5779999999968,16715.179000000022,0.0,0.0,15273.92599999999
3,46515.56100000006,0.0,0.0,8745.01699999999,10.087,0.0,2333.055999999999,1809.253999999998,17635.238000000005,0.0,0.0,15982.908999999998
4,47337.817000000025,0.0,0.0,8789.227,4.47,0.0,2364.906999999996,1836.5069999999976,17951.515,0.0,0.0,16391.191000000003
5,47179.999999999956,0.0,0.0,8710.254000000004,7.328999999999999,0.0,2347.677999999999,1831.7679999999987,17867.994000000002,0.0,0.0,16414.977000000017
6,46297.71700000008,0.0,0.0,8651.467000000002,3.651,0.0,2360.634000000001,1841.419999999997,17472.448999999975,0.0,0.0,15968.095999999981
7,46547.66000000002,0.0,0.0,8603.480000000012,9.519999999999998,0.0,2340.200999999997,1827.8879999999979,17602.801000000003,0.0,0.0,16163.769999999993
8,46876.159000000065,0.0,0.0,8867.757000000007,8.674,0.0,2394.0409999999974,1867.5339999999987,17607.032000000007,0.0,0.0,16131.121000000014
9,46474.46100000001,0.0,0.0,8819.842,6.058,0.0,2396.0249999999983,1854.5069999999964,17482.89199999998,0.0,0.0,15915.136999999995
10,46746.487000000016,0.0,0.0,8919.655000000006,7.378999999999999,0.0,2395.092999999995,1865.5289999999995,17472.782000000032,0.0,0.0,16086.04899999997
11,46413.94800000002,0.0,0.0,8731.094000000006,6.219,0.0,2389.3930000000005,1850.3179999999982,17432.318999999985,0.0,0.0,16004.604999999998
