hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-3,750.3159999999999,0.0,0.0,144.96699999999998,0.0,0.0,53.205,40.351,263.56100000000004,0.0,0.0,248.23199999999997
-2,97849.5490000001,0.0,0.0,17301.775999999805,8.655000000000001,0.0,6824.4340000000075,5314.829000000009,35636.65700000008,0.0,0.0,32763.19800000014
-1,96347.5350000003,0.0,0.0,17314.398999999834,13.28,0.0,6813.716000000005,5277.152000000008,34905.15400000014,0.0,0.0,32023.83400000006
0,93420.35200000022,0.0,0.0,17309.58799999982,14.951999999999998,0.0,4943.020999999955,3838.1810000000064,35172.81900000005,0.0,0.0,32141.791000000092
1,91004.24800000023,0.0,0.0,17187.61999999985,19.393999999999995,0.0,4615.149999999954,3574.8319999999917,34350.41700000008,0.0,0.0,31256.83500000006
2,94517.81700000045,0.0,0.0,17499.480999999847,11.799,0.0,4712.584999999959,3668.2750000000015,35819.50900000001,0.0,0.0,32806.16800000003
3,92845.37700000046,0.0,0.0,17254.94699999983,13.170999999999998,0.0,4700.8349999999655,3669.3079999999945,35075.24999999997,0.0,0.0,32131.865999999995
4,93350.62000000032,0.0,0.0,17687.598999999864,14.731999999999998,0.0,4790.065999999954,3722.0410000000047,35089.92400000012,0.0,0.0,32046.258000000078
5,93160.43500000042,0.0,0.0,17650.748999999832,13.597999999999999,0.0,4784.485999999951,3715.8470000000025,34905.1010000001,0.0,0.0,32090.654000000017
6,216470.57900000075,0.0,0.0,67756.15399999985,14.032999999999998,0.0,45308.74699999997,35168.044999999984,35671.60200000001,0.0,0.0,32551.99800000006
7,580584.9660000014,0.0,0.0,67164.3029999998,13.105999999999996,0.0,251162.1480000002,195048.77599999934,35080.352000000086,0.0,0.0,32116.281000000094
8,534091.1209999984,0.0,0.0,67410.61799999989,7.890999999999999,0.0,224952.86900000065,175237.61300000036,34664.89100000012,0.0,0.0,31817.23900000007
9,609528.0719999975,0.0,0.0,69250.81499999973,10.518999999999998,0.0,240044.18200000032,186427.19599999997,59573.23600000001,0.0,0.0,54222.1239999999
10,571524.1179999989,0.0,0.0,51513.09300000025,8.706999999999999,0.0,254127.86699999945,198817.77700000035,34880.936000000125,0.0,0.0,32175.738000000063
11,517683.93700000003,0.0,0.0,16960.778999999853,11.510999999999997,0.0,242482.98100000044,189530.44899999976,35210.46700000005,0.0,1146.4209999999996,32341.32900000005
12,550601.2369999994,0.0,0.0,41938.12300000004,6.7,0.0,243878.97300000006,189046.2449999996,34974.931000000055,0.0,8756.48799999999,31999.777000000064
13,558197.3890000001,0.0,0.0,72126.01799999972,3.6730000000000005,0.0,230567.38499999896,178925.46200000073,35386.16400000003,0.0,8764.469999999976,32424.217000000044
14,566684.8610000014,0.0,0.0,68118.71899999981,5.514,0.0,242260.199,187856.2549999995,34894.094999999994,0.0,1568.2649999999974,31981.814000000075
15,565649.8189999996,0.0,0.0,67951.49699999993,11.994,0.0,242889.50599999967,188172.13199999946,34751.11800000005,0.0,0.0,31873.572000000004
16,531291.3069999985,0.0,0.0,63589.13199999992,8.01,0.0,226506.4870000001,176282.95799999966,33761.443999999996,0.0,0.0,31143.27600000004
17,533359.0539999973,0.0,0.0,68409.6509999998,9.876999999999997,0.0,223713.9309999996,174241.1730000007,34900.17299999995,0.0,0.0,32084.24900000004
18,528115.7760000003,0.0,0.0,64698.761999999886,8.114,0.0,215125.91199999978,167140.74700000053,35422.79200000008,0.0,13255.271000000015,32464.17800000003
19,548013.5330000002,0.0,0.0,65475.320999999894,9.051,17932.895999999997,221073.4759999996,172200.8500000008,34411.77900000009,0.0,5410.190000000031,31499.970000000045
20,187962.98999999874,0.0,0.0,65061.46299999977,7.648,11586.68699999999,23838.823999999822,18593.831000000024,34589.12400000003,0.0,2635.058000000003,31650.355000000087
21,181117.49100000036,0.0,0.0,42979.157000000676,13.748000000000001,0.0,4632.832999999959,3589.6030000000014,67282.88699999993,0.0,1243.0699999999986,61376.19299999996
22,91668.97700000004,0.0,0.0,17323.98199999985,10.754999999999997,0.0,4707.810999999967,3658.960000000002,33541.858000000044,0.0,1694.0439999999994,30731.56699999999
23,93879.2800000001,0.0,0.0,17371.883999999827,11.698,0.0,4657.697999999966,3615.7970000000014,34970.16400000005,0.0,1114.8069999999984,32137.232000000015
24,94813.0130000001,0.0,0.0,17395.092999999822,10.555,0.0,4677.105999999961,3657.421000000009,35178.055000000015,0.0,1626.439999999997,32268.343000000033
25,93426.32900000032,0.0,0.0,17322.286999999844,13.767999999999997,0.0,4688.381999999958,3655.2360000000017,34785.72399999997,0.0,996.2339999999987,31964.69800000009
26,92545.94100000011,0.0,0.0,17233.24699999985,14.221,0.0,4629.680999999973,3608.8210000000036,34552.70699999997,0.0,774.3529999999989,31732.911000000036
27,94015.81000000011,0.0,0.0,17527.15699999983,10.672,0.0,4711.677999999962,3667.531000000003,35079.70700000002,0.0,791.6019999999999,32227.463000000047
28,92587.66400000047,0.0,0.0,17670.222999999787,12.012,0.0,4767.971999999953,3704.418000000004,34139.11200000006,0.0,892.2659999999998,31401.661000000076
29,135309.21099999984,0.0,0.0,59507.57999999996,4.994,0.0,4779.213999999964,3717.535,34603.15699999991,0.0,897.4279999999983,31799.303000000014
30,145328.21699999992,0.0,0.0,69888.05099999982,4.812999999999999,0.0,4712.544999999951,3658.9870000000024,34915.44000000007,0.0,209.30399999999997,31939.077000000085
31,141134.2620000003,0.0,0.0,69207.67999999983,8.897,0.0,4632.361999999965,3591.161000000003,33194.02400000004,0.0,0.0,30500.138000000014
32,93813.06000000038,0.0,0.0,19117.409999999854,9.316999999999998,0.0,4715.7679999999655,3660.4500000000075,34636.338999999985,0.0,0.0,31673.776000000016
33,262392.0230000006,0.0,0.0,17765.175999999818,8.304,0.0,99918.02399999995,77724.7529999999,34900.73600000006,0.0,0.0,32075.030000000024
34,548672.3580000001,0.0,0.0,25743.916999999914,7.984,0.0,256602.1290000006,200210.13799999998,34535.02600000005,0.0,0.0,31573.164000000073
35,519582.0089999991,0.0,0.0,38237.5620000004,9.626999999999999,0.0,233045.66,181615.35299999954,34903.01200000009,0.0,0.0,31770.795000000024
36,526333.3320000009,0.0,0.0,17568.50599999986,11.630999999999997,0.0,248952.11100000032,192525.42600000004,35153.23300000003,0.0,0.0,32122.425000000003
37,446012.1000000007,0.0,0.0,14509.14999999992,8.634999999999998,0.0,206218.3530000001,160364.37299999967,33821.38600000005,0.0,0.0,31090.203000000063
38,123950.99100000008,0.0,0.0,2377.817000000001,14.512999999999998,0.0,30279.784,23791.313000000013,35207.213000000076,0.0,0.0,32280.35100000002
39,496231.82699999964,0.0,0.0,26289.13999999994,10.325999999999999,0.0,225826.48699999956,176161.65600000025,35353.86300000002,0.0,0.0,32590.355000000076
40,552880.0029999979,0.0,0.0,66169.18899999985,8.905000000000001,0.0,237216.97099999964,183616.671,34328.257000000114,0.0,0.0,31540.01000000003
41,507637.7549999996,0.0,0.0,20184.194999999803,4.235,0.0,236862.51600000044,183272.16499999975,35086.63800000008,0.0,0.0,32228.006000000023
42,598705.0520000013,0.0,0.0,17241.46399999984,6.7090000000000005,39635.66700000002,221410.31100000153,172708.27599999876,77353.68500000019,0.0,0.0,70348.94000000002
