hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
0,739.5869999999999,0,0,0,0,0,57.416,43.625,328.219,0,0,310.3269999999999
1,104850.58599999998,0,0,17716.127999999793,8.655000000000001,0,7005.748000000008,5453.512000000017,38892.74100000004,0,0,35773.80200000013
2,103727.96200000007,0,0,17750.45099999983,13.28,0,6981.115000000007,5405.468000000013,38365.23900000012,0,0,35212.4090000001
3,99711.5199999999,0,0,17687.948999999808,14.951999999999998,0,5037.504999999953,3913.593000000007,38176.645000000055,0,0,34880.87600000007
4,97289.96500000001,0,0,17601.691999999846,19.393999999999995,0,4759.393999999953,3685.393999999992,37259.929000000164,0,0,33964.162000000055
5,98767.31499999986,0,0,17987.042999999816,11.799,0,4874.344999999954,3793.5860000000016,37628.32099999998,0,0,34472.22100000011
6,99174.25999999978,0,0,17790.208999999817,13.170999999999998,0,4822.44099999996,3764.883999999997,37985.048000000024,0,0,34798.50699999998
7,99642.48300000001,0,0,18096.188999999842,14.731999999999998,0,4893.056999999952,3802.8700000000044,38074.60400000011,0,0,34761.0310000001
8,99276.17699999979,0,0,18061.10299999983,13.597999999999999,0,4870.12299999996,3780.9180000000024,37769.69199999998,0,0,34780.74300000002
9,223681.37599999981,0,0,69209.68899999978,14.032999999999998,0,46455.22399999996,36082.07199999999,37585.75400000005,0,0,34334.604000000065
10,594084.6299999993,0,0,68488.73299999979,13.105999999999996,0,255685.6310000001,198597.1569999993,37223.23300000011,0,0,34076.77000000006
11,549682.041000001,0,0,68684.72099999987,7.890999999999999,0,229467.6730000006,178678.28200000033,38008.79000000007,0,0,34834.684000000045
12,623752.7909999999,0,0,70895.60199999978,10.518999999999998,0,245341.68600000028,190536.86499999987,61231.69800000001,0,0,55736.42099999993
13,596578.537,0,0,53837.17300000021,8.706999999999999,0,263563.8779999993,206128.0800000003,38016.912000000106,0,0,35023.787000000026
14,548885.7370000003,0,0,17973.888999999825,11.510999999999997,0,256103.12700000053,199982.18199999988,38426.612000000096,0,1146.4209999999996,35241.99500000003
15,572159.2519999999,0,0,43115.73300000005,6.7,0,252355.36300000013,195659.32299999957,37750.41100000005,0,8756.48799999999,34515.234000000055
16,573125.8919999994,0,0,73588.69499999975,3.6730000000000005,0,236255.0549999989,183451.73100000073,37087.898000000074,0,8764.469999999976,33974.370000000046
17,578971.6359999994,0,0,69235.61299999982,5.514,0,245383.89899999995,190342.1999999995,37778.84500000004,0,1568.2649999999974,34657.30000000006
18,580594.9889999989,0,0,69312.0159999999,11.994,0,247288.60099999967,191655.51699999935,37706.697000000015,0,0,34620.16400000005
19,547112.2849999998,0,0,65159.37299999989,8.01,0,231277.7960000002,179998.02999999968,36757.52799999991,0,0,33911.54800000004
20,546746.0009999999,0,0,70200.0809999997,9.876999999999997,0,227577.12599999947,177279.25200000074,37350.68799999997,0,0,34328.977000000035
21,544092.7040000005,0,0,67479.80099999989,8.114,0,220958.87399999987,171675.85200000065,36899.90000000006,0,13255.271000000015,33814.89200000004
22,567498.6090000004,0,0,68115.165,9.051,17932.895999999997,227209.32499999943,177062.99100000074,37480.60400000015,0,5410.190000000031,34278.387000000024
23,199975.18299999982,0,0,68981.76299999976,7.648,11586.68699999999,24953.71199999982,19468.606000000076,37792.206000000035,0,2636.656000000003,34547.90500000011
24,188578.0390000004,0,0,44708.50900000066,13.748000000000001,0,4790.751999999959,3713.4700000000025,70114.29799999982,0,1243.0699999999986,63994.19199999997
25,99071.62599999981,0,0,17753.45799999986,10.754999999999997,0,4795.808999999962,3728.6740000000027,37072.37899999999,0,1718.6439999999996,33991.906999999985
26,98781.43099999981,0,0,17747.22199999981,11.698,0,4787.781999999962,3718.0190000000025,37207.714000000036,0,1114.8069999999984,34194.189000000006
27,99620.38599999977,0,0,17709.096999999816,10.555,0,4767.154999999959,3725.36900000001,37428.16699999998,0,1631.3799999999972,34348.663
28,99801.73499999981,0,0,17671.22199999983,13.767999999999997,0,4780.936999999958,3725.0250000000024,37845.54099999996,0,996.2339999999987,34769.00800000006
29,98809.98899999983,0,0,17672.227999999835,14.221,0,4743.827999999972,3698.6560000000036,37485.969999999965,0,774.3529999999989,34420.73300000005
30,97962.02399999986,0,0,17829.22999999983,10.672,0,4793.9979999999605,3732.053000000003,36900.289999999986,0,791.6019999999999,33904.17900000008
31,99227.07599999986,0,0,17940.051999999778,12.012,0,4848.099999999951,3768.958000000004,37379.35800000004,0,892.2659999999998,34386.33000000008
32,141459.0529999998,0,0,60500.89399999994,4.994,0,4858.604999999961,3779.2800000000016,37239.72199999986,0,897.4279999999983,34178.13000000004
33,150469.6749999999,0,0,71355.1729999998,4.812999999999999,0,4824.617999999954,3745.9640000000027,36725.37800000009,0,209.30399999999997,33604.42500000005
34,148824.17499999987,0,0,70650.22599999982,8.897,0,4762.211999999959,3691.7340000000027,36353.31200000007,0,0,33357.79400000001
35,99283.82599999988,0,0,19493.632999999856,9.316999999999998,0,4803.889999999966,3726.6100000000074,37207.404,0,0,34042.972000000045
36,268983.51199999976,0,0,18013.736999999808,8.304,0,101289.81899999996,78747.2729999999,36947.88600000005,0,0,33976.49300000003
37,562255.3370000006,0,0,26264.613999999918,7.984,0,260897.6980000007,203651.78299999994,37321.81300000001,0,0,34111.44500000004
38,532782.5100000001,0,0,38900.87700000045,9.626999999999999,0,237243.53200000012,184889.4549999995,37532.62700000007,0,0,34206.39200000002
39,540874.6760000003,0,0,17942.491999999856,11.630999999999997,0,254636.05000000028,197043.2580000002,37224.349999999984,0,0,34016.89500000004
40,460110.802,0,0,14935.78399999991,8.634999999999998,0,210001.9030000002,163219.3629999998,37494.24600000006,0,0,34450.87100000006
41,130992.0310000001,0,0,2440.226000000001,14.512999999999998,0,31384.32,24703.496000000014,37792.87300000007,0,0,34656.603000000025
